gene_name number_of_transposon_per_gene number_of_read_per_gene
IST2 10 43
RFC5 2 1
POL30 1 0
YBR089W 1 0
NHP6B 8 43
YBR090C 23 78
TIM12 0 0
PHO3 5 11
PHO5 6 37
PBY1 21 165
RXT2 7 39
YBR096W 2 3
VPS15 3 5
MMS4 14 73
YBR099C 7 21
FES1 0 0
EXO84 4 4
SIF2 5 19
YBR103C-A 13 162
YMC2 27 344
VID24 7 68
PHO88 2 3
IML3 1 0
AIM3 22 192
CMD1 0 0
YBR109W-A 14 297
ALG1 2 1
YSA1 8 51
SUS1 1 0
CYC8 1 0
YBR113W 5 11
RAD16 16 152
LYS2 17 320
YBR116C 10 41
TKL2 14 158
TEF2 0 0
MUD1 9 83
CBP6 2 1
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 4
TFC1 5 27
YBR124W 6 48
PTC4 15 251
TPS1 5 32
YBR126W-A 12 66
YBR126W-B 10 61
VMA2 4 30
ATG14 5 14
OPY1 4 3
SHE3 5 16
CCZ1 2 1
YBR131C-A 0 0
AGP2 14 41
HSL7 4 26
YBR134W 8 209
CKS1 2 4
MEC1 3 4
YBR137W 9 127
YBR138C 10 81
YBR139W 13 59
IRA1 4 5
BMT2 19 187
YBR141W-A 1 0
MAK5 3 2
SUP45 0 0
YBR144C 16 103
ADH5 12 136
MRPS9 1 0
RTC2 5 23
YSW1 33 265
ARA1 4 18
TBS1 26 320
APD1 7 68
SPP381 7 106
RIB7 1 0
RPB5 0 0
CNS1 1 0
SLI15 5 8
ICS2 8 65
AMN1 12 129
IFA38 1 0
CDC28 0 0
CSH1 2 2
TOS1 10 75
YSY6 1 0
EXO5 2 1
ARL1 0 0
UBS1 0 0
TYR1 7 30
POP7 0 0
PEX32 7 66
SSE2 12 75
NPL4 5 90
SEC66 3 2
SMY2 11 30
UMP1 1 0
YBR174C 5 20
SWD3 4 10
ECM31 1 0
EHT1 10 134
YBR178W 12 70
FZO1 2 1
DTR1 9 34
RPS6B 1 0
SMP1 7 46
YBR182C-A 2 1
YPC1 9 30
YBR184W 8 104
MBA1 1 0
PCH2 29 347
GDT1 3 4
NTC20 2 1
RPS9B 1 0
YBR190W 0 0
RPL21A 1 0
YBR191W-A 0 0
RIM2 0 0
MED8 1 0
AIM4 3 79
MSI1 4 5
PGI1 0 0
YBR196C-A 10 50
YBR196C-B 9 149
YBR197C 43 647
TAF5 0 0
KTR4 3 5
BEM1 3 21
YBR200W-A 2 3
DER1 4 15
YBR201C-A 1 0
MCM7 11 135
COS111 18 201
LDH1 14 195
KTR3 12 80
YBR206W 5 8
FTH1 7 54
DUR1,2 46 379
YBR209W 17 100
ERV15 5 9
AME1 0 0
NGR1 10 32
MET8 17 136
SDS24 16 104
HPC2 12 100
YBP1 12 126
ATG12 1 0
PYC2 25 352
YBR219C 22 212
YBR220C 16 106
PDB1 2 9
YBR221W-A 13 85
PCS60 30 192
TDP1 22 81
YBR223W-A 3 5
YBR224W 12 83
YBR225W 11 58
YBR226C 1 0
MCX1 6 13
SLX1 5 67
ROT2 23 640
OM14 4 8
YBR230W-A 3 7
SWC5 2 2
YBR232C 5 4
PBP2 13 61
DAD3 0 0
ARC40 0 0
VHC1 20 106
ABD1 0 0
PRP5 0 0
YBR238C 14 78
ERT1 31 410
THI2 13 161
YBR241C 37 759
YBR242W 9 219
ALG7 0 0
GPX2 3 2
ISW1 29 172
RRT2 6 30
ENP1 1 0
HIS7 10 47
ARO4 5 23
SPO23 10 25
MRPS5 0 0
DUT1 0 0
SRB6 3 2
TRS20 0 0
MTC4 12 89
YBR255C-A 1 0
RIB5 2 3
POP4 2 1
SHG1 3 4
YBR259W 14 61
RGD1 12 152
TAE1 8 40
MIC12 1 0
SHM1 14 55
YPT10 4 5
TSC10 2 4
REI1 3 2
SLM6 1 0
MRPL37 0 0
SDH8 5 12
BIT2 17 113
EFM2 18 101
HSM3 3 3
UBX7 9 27
CHK1 13 177
RIF1 35 439
PPS1 23 293
YBR277C 7 76
DPB3 8 87
PAF1 4 9
SAF1 12 187
DUG2 16 165
MRPL27 1 0
SSH1 3 11
YBR284W 28 297
YBR285W 1 0
APE3 21 124
YBR287W 14 67
APM3 4 13
SNF5 6 23
BSD2 8 47
CTP1 39 707
YBR292C 8 32
VBA2 11 129
SUL1 18 110
PCA1 27 307
PHO89 18 126
YBR296C-A 1 0
MAL33 20 76
MAL31 13 94
YBR298C-A 14 279
MAL32 10 117
YBR300C 8 13
PAU24 0 0
COS2 0 0
YCL076W 0 0
GEX1 6 6
VBA3 2 1
YCL068C 0 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 2 1
VAC17 5 53
MRC1 12 80
KRR1 1 0
FYV5 8 33
ADF1 2 1
MIC10 0 0
PRD1 26 449
PEX34 6 21
KAR4 5 16
RDT1 0 0
SPB1 1 0
PBN1 1 0
LRE1 21 264
APA1 9 143
YCL049C 4 20
YCL048W-A 2 1
SPS22 20 204
POF1 5 12
EMC1 16 346
YCL046W 2 1
MGR1 3 2
PDI1 2 1
YCL041C 26 67
YCL042W 14 172
GLK1 62 1138
GID7 35 401
ATG22 18 122
SRO9 11 158
GFD2 41 539
GRX1 3 39
LSB5 17 188
MXR2 9 19
STE50 8 43
RRP7 0 0
HIS4 42 416
BIK1 55 333
RNQ1 8 47
FUS1 20 190
HBN1 5 11
FRM2 16 109
AGP1 46 514
YCL023C 12 20
KCC4 75 844
YCL022C 17 124
YCL021W-A 29 215
LEU2 30 257
NFS1 1 0
DCC1 6 25
BUD3 224 3407
YCL012C 28 177
GBP2 46 394
SGF29 21 252
ILV6 55 825
STP22 18 286
YCL007C 6 27
VMA9 1 0
LDB16 15 40
PGS1 9 67
YCL002C 35 303
RER1 16 37
YCL001W-A 0 0
YCL001W-B 4 6
YCR001W 10 151
CDC10 4 22
MRPL32 6 31
YCP4 0 0
CIT2 88 1498
YCR006C 86 597
YCR007C 25 281
SAT4 48 616
RVS161 7 10
ADY2 25 235
ADP1 75 1444
PGK1 3 6
YCR013C 4 30
POL4 51 487
YCR015C 23 387
YCR016W 19 157
CWH43 17 248
SRD1 14 88
YCR018C-A 7 27
MAK32 38 513
PET18 18 63
MAK31 4 4
HTL1 0 0
HSP30 16 165
YCR022C 9 155
YCR023C 36 417
SLM5 3 2
YCR024C-B 1 0
PMP1 1 0
YCR025C 36 554
NPP1 61 711
RHB1 7 39
FEN2 5 11
RIM1 1 0
SYP1 30 322
RPS14A 1 0
BPH1 32 218
SNT1 12 83
ELO2 5 80
RRP43 2 2
RBK1 14 195
PHO87 37 708
BUD5 2 2
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 1 0
YCR041W 0 0
TAF2 8 20
YCR043C 8 95
PER1 0 0
RRT12 23 362
YCR045W-A 8 15
IMG1 2 1
BUD23 5 6
YCR047W-A 0 0
YCR049C 8 63
ARE1 25 328
YCR050C 3 7
YCR051W 9 103
RSC6 0 0
THR4 0 0
CTR86 1 0
PWP2 4 10
YIH1 18 322
TAH1 1 0
YCR061W 85 1573
YCR064C 18 269
BUD31 4 8
HCM1 10 80
RAD18 2 1
SED4 29 221
ATG15 16 58
CPR4 13 112
IMG2 0 0
RSA4 0 0
SSK22 28 224
SOL2 6 12
ERS1 7 22
YCR075W-A 2 1
FUB1 6 29
PAT1 3 3
PTC6 4 19
SRB8 8 18
YCR081C-A 2 1
AHC2 2 1
TRX3 5 54
TUP1 0 0
YCR085W 4 28
CSM1 5 44
YCR087W 2 5
YCR087C-A 1 0
ABP1 21 417
FIG2 26 208
YCR090C 7 95
KIN82 21 193
MSH3 25 177
CDC39 5 7
CDC50 0 0
OCA4 10 32
YCR095W-A 3 3
HMRA2 0 0
HMRA1 0 0
YCR097W-A 0 0
GIT1 12 57
YCR099C 1 0
YCR100C 14 78
YCR101C 0 0
YCR102C 19 232
YCR102W-A 0 0
PAU3 4 4
ADH7 25 283
RDS1 15 129
AAD3 23 107
YCR108C 2 2
COS7 1 0
YDL247W-A 0 0
MPH2 1 0
SOR2 0 0
HXT15 2 1
THI13 12 72
AAD4 22 180
YDL242W 7 89
YDL241W 4 3
YDL240C-A 11 22
LRG1 17 112
ADY3 21 115
GUD1 8 21
AIM6 11 76
PHO13 5 18
YPD1 1 0
GYP7 26 307
MFG1 6 58
OST4 0 0
BRE4 15 104
PTP1 15 187
SSB1 6 8
YDL228C 3 2
HO 50 382
GCS1 0 0
SHS1 10 55
WHI4 6 24
HBT1 27 440
FMP45 4 9
YDL221W 39 616
CDC13 19 239
