gene_name number_of_transposon_per_gene number_of_read_per_gene
RPS29B 1 0
TSR1 1 0
RAD59 15 110
USO1 18 127
YDL057W 36 565
MBP1 28 221
PSA1 1 0
MCH1 42 767
PBP4 6 15
SLC1 32 537
LHP1 27 297
YDL050C 14 167
KNH1 50 937
STP4 46 839
SIT4 1 0
NPC2 10 90
MRP10 1 0
FAD1 0 0
MTF2 0 0
PRP11 0 0
SIR2 44 906
YDL041W 15 149
NAT1 19 539
PRM7 36 592
BSC1 7 53
PUS9 17 227
GPR1 23 289
YDL034W 5 8
SLM3 8 69
YDL032W 4 12
DBP10 0 0
PRP9 4 9
ARP2 1 0
MPS1 8 76
YDL027C 15 160
YDL026W 7 23
RTK1 15 70
YDL025W-A 1 0
DIA3 33 598
YDL022C-A 17 283
YDL023C 14 144
GPD1 34 642
GPM2 53 612
RPN4 32 304
OSH2 90 3214
ERP3 20 334
CDC7 3 2
YDL016C 10 97
TSC13 0 0
NOP1 0 0
SLX5 14 117
YDL012C 27 338
YDL011C 22 269
GRX6 35 443
YDL009C 13 89
APC11 9 109
YDL007C-A 9 70
RPT2 1 0
PTC1 1 0
MED2 40 365
ATP16 0 0
MCD1 8 47
NHP10 24 251
RMD1 94 2204
NTH1 152 3132
YRB1 1 0
RCR2 63 1018
YDR003W-A 10 77
RAD57 41 593
MAF1 13 211
SOK1 65 785
TRP1 51 645
YDR008C 48 723
GAL3 90 1688
YDR010C 92 2931
SNQ2 121 2428
RPL4B 9 260
PSF1 0 0
RAD61 46 621
HED1 9 102
YDR015C 4 12
DAD1 1 0
KCS1 17 141
YDR018C 69 844
GCV1 39 539
DAS2 41 1025
FAL1 1 0
ATG31 1 0
SES1 3 9
FYV1 19 68
RPS11A 4 5
NSI1 28 445
VPS54 4 18
REG1 13 120
YDR029W 8 110
RAD28 37 627
MIX14 4 3
PST2 18 179
MRH1 30 441
LYS14 29 291
YDR034C-A 2 1
YDR034W-B 4 7
ARO3 19 276
EHD3 29 350
KRS1 3 3
ENA5 33 152
ENA2 4 3
ENA1 9 102
RSM10 2 3
YDR042C 8 16
NRG1 11 150
HEM13 0 0
RPC11 0 0
BAP3 20 211
HEM12 1 0
YDR048C 14 346
VMS1 4 11
TPI1 0 0
DET1 20 371
DBF4 3 3
YDR053W 0 0
CDC34 3 2
PST1 20 363
YDR056C 18 76
YOS9 21 223
TGL2 13 44
UBC5 15 250
MAK21 9 32
YDR061W 23 168
LCB2 1 0
AIM7 4 25
RPS13 0 0
RRG1 1 0
RTR2 15 410
OCA6 12 289
DOS2 6 24
DOA4 4 18
FMP16 0 0
PAA1 1 0
IPT1 33 279
SNF11 11 71
TPS2 7 358
PPH3 14 345
RAD55 22 236
SED1 10 78
SHU2 12 62
PET100 2 16
TFB5 2 2
VPS41 0 0
PDC2 1 0
STN1 9 94
RRP8 4 7
TVP23 6 62
AFR1 18 209
SSS1 0 0
RRP1 0 0
SLU7 5 34
YDR089W 46 678
YDR090C 8 42
RLI1 0 0
UBC13 3 25
DNF2 148 2732
YDR094W 62 1383
YDR095C 31 235
GIS1 24 197
MSH6 25 247
GRX3 6 22
BMH2 25 96
TVP15 15 105
ARX1 15 189
YDR102C 13 135
STE5 18 103
SPO71 39 719
TMS1 14 156
ARP10 15 148
TMN2 15 212
TRS85 12 201
YDR109C 21 180
FOB1 31 539
ALT2 23 374
IRC2 10 98
PDS1 2 1
YDR114C 8 64
YDR115W 1 0
MRPL1 10 49
TMA64 7 32
APC4 16 86
YDR118W-A 3 12
VBA4 36 503
COX26 8 74
TRM1 16 118
DPB4 5 6
KIN1 16 283
INO2 1 0
YDR124W 18 182
ECM18 13 83
SWF1 8 52
ARO1 13 68
MTC5 41 629
SAC6 2 1
FIN1 6 95
YDR131C 29 243
YDR132C 10 76
YDR133C 1 0
YCF1 29 433
VPS61 23 491
RGP1 1 0
HPR1 17 189
RUB1 0 0
MTQ2 0 0
DOP1 5 21
PEX7 13 208
SAN1 18 188
MKC7 13 237
TAF12 0 0
SWI5 21 142
EKI1 22 330
KGD2 3 39
YDR149C 4 6
NUM1 21 195
CTH1 12 128
GIR2 11 117
ENT5 7 35
YDR154C 3 3
CPR1 11 145
RPA14 11 93
