gene_name number_of_transposon_per_gene number_of_read_per_gene
RPL19A 11 138
AAC3 7 33
YBR085C-A 4 32
IST2 16 154
RFC5 2 1
POL30 1 0
YBR089W 1 0
NHP6B 12 77
YBR090C 30 139
TIM12 0 0
PHO3 11 58
PHO5 13 261
PBY1 29 543
RXT2 8 45
YBR096W 3 5
VPS15 8 59
MMS4 28 325
YBR099C 11 68
FES1 0 0
EXO84 8 41
SIF2 11 201
YBR103C-A 17 239
YMC2 37 581
VID24 10 131
PHO88 2 3
IML3 3 20
AIM3 34 420
CMD1 0 0
YBR109W-A 16 306
ALG1 2 1
YSA1 12 71
SUS1 2 1
CYC8 7 39
YBR113W 9 17
RAD16 28 386
LYS2 24 413
YBR116C 20 310
TKL2 32 663
TEF2 0 0
MUD1 11 94
CBP6 2 1
GRS1 0 0
YBR121C-A 0 0
MRPL36 3 9
TFC1 7 30
YBR124W 9 140
PTC4 19 526
TPS1 5 32
YBR126W-A 16 153
YBR126W-B 13 189
VMA2 8 74
ATG14 12 86
OPY1 8 27
SHE3 8 45
CCZ1 3 2
YBR131C-A 0 0
AGP2 20 104
HSL7 7 76
YBR134W 13 309
CKS1 2 4
MEC1 7 27
YBR137W 11 162
YBR138C 16 158
YBR139W 18 169
IRA1 6 7
BMT2 22 238
YBR141W-A 1 0
MAK5 3 2
SUP45 1 0
YBR144C 23 287
ADH5 17 355
MRPS9 1 0
RTC2 10 238
YSW1 41 372
ARA1 8 44
TBS1 35 586
APD1 10 186
SPP381 9 112
RIB7 1 0
RPB5 1 0
CNS1 2 6
SLI15 7 27
ICS2 14 264
AMN1 21 323
IFA38 1 0
CDC28 0 0
CSH1 13 45
TOS1 23 350
YSY6 3 15
EXO5 3 3
ARL1 2 1
UBS1 3 8
TYR1 14 155
POP7 0 0
PEX32 13 111
SSE2 15 161
NPL4 10 206
SEC66 4 3
SMY2 16 171
UMP1 1 0
YBR174C 5 20
SWD3 4 10
ECM31 8 87
EHT1 15 241
YBR178W 19 101
FZO1 2 1
DTR1 15 87
RPS6B 2 3
SMP1 12 116
YBR182C-A 3 6
YPC1 15 149
YBR184W 17 287
MBA1 3 4
PCH2 40 853
GDT1 6 29
NTC20 4 6
RPS9B 1 0
YBR190W 0 0
RPL21A 2 1
YBR191W-A 0 0
RIM2 0 0
MED8 3 8
AIM4 5 134
MSI1 9 104
PGI1 1 0
YBR196C-A 12 61
YBR196C-B 16 410
YBR197C 60 1137
TAF5 0 0
KTR4 5 28
BEM1 6 64
YBR200W-A 5 16
DER1 6 30
YBR201C-A 4 18
MCM7 19 304
COS111 23 297
LDH1 15 333
KTR3 22 361
YBR206W 8 111
FTH1 12 110
DUR1,2 73 1037
YBR209W 22 265
ERV15 7 34
AME1 1 0
NGR1 19 194
MET8 29 294
SDS24 23 375
HPC2 13 129
YBP1 18 177
ATG12 2 3
PYC2 33 573
YBR219C 32 424
YBR220C 26 335
PDB1 2 9
YBR221W-A 15 195
PCS60 48 509
TDP1 51 769
YBR223W-A 7 113
YBR224W 25 168
YBR225W 20 186
YBR226C 2 16
MCX1 14 75
SLX1 12 164
ROT2 32 973
OM14 9 24
YBR230W-A 9 41
SWC5 3 9
YBR232C 10 23
PBP2 23 222
DAD3 1 0
ARC40 1 0
VHC1 28 433
ABD1 1 0
PRP5 0 0
YBR238C 26 396
ERT1 49 849
THI2 19 265
YBR241C 50 1252
YBR242W 11 235
ALG7 0 0
GPX2 8 25
ISW1 43 486
RRT2 7 33
ENP1 1 0
HIS7 12 122
ARO4 8 89
SPO23 16 116
MRPS5 0 0
DUT1 0 0
SRB6 5 15
TRS20 0 0
MTC4 23 354
YBR255C-A 2 6
RIB5 3 34
POP4 2 1
SHG1 6 9
YBR259W 24 265
RGD1 18 269
TAE1 11 62
MIC12 4 14
SHM1 18 94
YPT10 11 44
TSC10 2 4
REI1 7 77
SLM6 2 1
MRPL37 1 0
SDH8 6 13
BIT2 25 228
EFM2 24 157
HSM3 5 7
UBX7 14 57
CHK1 13 202
RIF1 61 852
PPS1 30 532
