gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR085C-A 2 1
IST2 10 409
RFC5 0 0
POL30 3 2
YBR089W 3 2
NHP6B 7 43
YBR090C 18 119
TIM12 0 0
PHO3 7 9
PHO5 6 44
PBY1 9 139
RXT2 7 275
YBR096W 3 10
VPS15 7 141
MMS4 4 7
YBR099C 0 0
FES1 2 4
EXO84 7 57
SIF2 6 81
YBR103C-A 8 115
YMC2 5 6
VID24 6 72
PHO88 3 59
IML3 4 7
AIM3 11 257
CMD1 0 0
YBR109W-A 4 10
ALG1 1 0
YSA1 4 4
SUS1 0 0
CYC8 3 2
YBR113W 4 30
RAD16 13 286
LYS2 11 28
YBR116C 7 10
TKL2 9 579
TEF2 2 2
MUD1 1 0
CBP6 0 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 1 0
TFC1 4 4
YBR124W 6 42
PTC4 4 4
TPS1 3 2
YBR126W-A 0 0
YBR126W-B 1 0
VMA2 2 8
ATG14 10 164
OPY1 2 1
SHE3 0 0
CCZ1 4 33
YBR131C-A 0 0
AGP2 12 285
HSL7 5 24
YBR134W 7 169
CKS1 1 0
MEC1 14 38
YBR137W 3 6
YBR138C 5 49
YBR139W 19 150
IRA1 20 200
BMT2 8 137
YBR141W-A 0 0
MAK5 2 1
SUP45 0 0
YBR144C 24 3558
ADH5 8 195
MRPS9 2 3
RTC2 5 26
YSW1 14 136
ARA1 3 4
TBS1 17 235
APD1 5 7
SPP381 3 4
RIB7 0 0
RPB5 1 0
CNS1 0 0
SLI15 3 2
ICS2 3 2
AMN1 8 18
IFA38 3 2
CDC28 1 0
CSH1 3 9
TOS1 5 44
YSY6 1 0
EXO5 3 22
ARL1 1 0
UBS1 1 0
TYR1 6 55
POP7 0 0
PEX32 6 76
SSE2 7 75
NPL4 9 11
SEC66 0 0
SMY2 8 146
UMP1 1 0
YBR174C 4 3
SWD3 3 4
ECM31 4 6
EHT1 8 35
YBR178W 7 226
FZO1 9 77
DTR1 6 7
RPS6B 0 0
SMP1 2 1
YBR182C-A 2 5
YPC1 9 361
YBR184W 7 197
MBA1 1 0
PCH2 13 341
GDT1 3 5
NTC20 2 1
RPS9B 0 0
YBR190W 0 0
RPL21A 0 0
YBR191W-A 0 0
RIM2 0 0
MED8 0 0
AIM4 1 0
MSI1 5 7
PGI1 3 2
YBR196C-A 4 57
YBR196C-B 0 0
YBR197C 7 57
TAF5 5 5
KTR4 1 0
BEM1 1 0
YBR200W-A 0 0
DER1 6 42
YBR201C-A 0 0
MCM7 5 5
COS111 12 85
LDH1 3 2
KTR3 4 3
YBR206W 3 3
FTH1 8 238
DUR1,2 22 182
YBR209W 4 5
ERV15 1 0
AME1 6 12
NGR1 17 1905
MET8 7 28
SDS24 5 38
HPC2 6 75
YBP1 8 89
ATG12 2 2
PYC2 19 172
YBR219C 12 249
YBR220C 8 88
PDB1 6 14
YBR221W-A 7 37
PCS60 7 15
TDP1 6 39
YBR223W-A 1 0
YBR224W 2 1
YBR225W 10 67
YBR226C 0 0
MCX1 6 7
SLX1 1 0
ROT2 19 1272
OM14 3 2
YBR230W-A 8 1326
SWC5 5 32
YBR232C 0 0
PBP2 8 173
DAD3 0 0
ARC40 1 0
VHC1 8 219
ABD1 1 0
PRP5 5 5
YBR238C 3 12
ERT1 11 49
THI2 12 204
YBR241C 20 438
YBR242W 3 2
ALG7 0 0
GPX2 3 110
ISW1 13 47
RRT2 7 8
ENP1 0 0
HIS7 7 68
ARO4 2 1
SPO23 10 467
MRPS5 2 1
DUT1 2 1
SRB6 1 0
TRS20 1 0
MTC4 10 93
YBR255C-A 0 0
RIB5 1 0
POP4 0 0
SHG1 3 21
YBR259W 6 26
RGD1 3 2
TAE1 5 77
MIC12 0 0
SHM1 3 31
YPT10 0 0
TSC10 0 0
REI1 0 0
SLM6 0 0
MRPL37 0 0
SDH8 0 0
BIT2 5 44
EFM2 9 9
HSM3 1 0
UBX7 3 2
CHK1 4 41
RIF1 13 33
PPS1 7 7
YBR277C 3 6
DPB3 4 7
PAF1 0 0
SAF1 11 52
DUG2 13 109
MRPL27 1 0
SSH1 4 3
YBR284W 8 52
YBR285W 4 5
APE3 13 93
YBR287W 9 68
APM3 4 4
SNF5 8 30
BSD2 4 3
CTP1 10 154
YBR292C 1 0
VBA2 8 81
SUL1 19 252
PCA1 25 3570
PHO89 14 574
YBR296C-A 0 0
MAL33 7 85
MAL31 10 544
YBR298C-A 4 11
MAL32 4 3
YBR300C 0 0
PAU24 1 0
COS2 1 0
YCL076W 3 3
GEX1 6 24
VBA3 2 6
YCL068C 1 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 4 18
VAC17 5 29
MRC1 6 25
KRR1 0 0
FYV5 13 77
ADF1 9 23
MIC10 6 132
PRD1 18 67
PEX34 5 402
KAR4 10 161
RDT1 1 0
SPB1 9 9
PBN1 2 1
LRE1 9 1025
APA1 7 86
YCL049C 8 179
YCL048W-A 1 0
SPS22 7 39
POF1 7 56
EMC1 9 69
YCL046W 1 0
MGR1 13 152
PDI1 9 25
YCL041C 7 13
YCL042W 9 51
GLK1 30 1368
GID7 25 713
ATG22 13 264
SRO9 5 37
GFD2 20 784
GRX1 2 1
LSB5 12 114
MXR2 2 22
STE50 11 125
RRP7 2 1
HIS4 32 387
BIK1 55 760
RNQ1 11 169
FUS1 28 640
HBN1 6 47
FRM2 18 221
AGP1 34 616
