gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR085C-A 1 0
IST2 19 812
RFC5 0 0
POL30 1 0
YBR089W 1 0
NHP6B 10 225
YBR090C 17 320
TIM12 0 0
PHO3 4 3
PHO5 10 44
PBY1 9 108
RXT2 3 3
YBR096W 2 1
VPS15 5 26
MMS4 2 1
YBR099C 0 0
FES1 2 1
EXO84 4 3
SIF2 4 6
YBR103C-A 4 73
YMC2 3 10
VID24 5 8
PHO88 2 21
IML3 5 25
AIM3 12 374
CMD1 0 0
YBR109W-A 3 3
ALG1 1 0
YSA1 2 1
SUS1 1 0
CYC8 6 57
YBR113W 5 11
RAD16 16 376
LYS2 15 150
YBR116C 10 189
TKL2 16 616
TEF2 4 9
MUD1 0 0
CBP6 1 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 0 0
TFC1 2 2
YBR124W 4 25
PTC4 6 17
TPS1 1 0
YBR126W-A 4 10
YBR126W-B 4 10
VMA2 5 6
ATG14 10 136
OPY1 5 19
SHE3 1 0
CCZ1 4 6
YBR131C-A 0 0
AGP2 5 7
HSL7 3 2
YBR134W 8 154
CKS1 0 0
MEC1 15 98
YBR137W 3 3
YBR138C 6 8
YBR139W 12 845
IRA1 16 82
BMT2 6 91
YBR141W-A 0 0
MAK5 5 8
SUP45 2 1
YBR144C 22 1850
ADH5 13 117
MRPS9 2 1
RTC2 6 29
YSW1 17 447
ARA1 5 12
TBS1 10 163
APD1 5 52
SPP381 1 0
RIB7 4 10
RPB5 2 1
CNS1 0 0
SLI15 1 0
ICS2 1 0
AMN1 6 325
IFA38 0 0
CDC28 0 0
CSH1 3 23
TOS1 8 46
YSY6 0 0
EXO5 3 2
ARL1 2 3
UBS1 4 6
TYR1 6 10
POP7 0 0
PEX32 9 64
SSE2 12 110
NPL4 6 5
SEC66 2 72
SMY2 5 72
UMP1 1 0
YBR174C 0 0
SWD3 4 17
ECM31 6 17
EHT1 6 15
YBR178W 3 8
FZO1 12 20
DTR1 6 10
RPS6B 2 1
SMP1 3 8
YBR182C-A 1 0
YPC1 8 148
YBR184W 8 70
MBA1 4 20
PCH2 12 125
GDT1 9 146
NTC20 2 1
RPS9B 0 0
YBR190W 1 0
RPL21A 1 0
YBR191W-A 0 0
RIM2 0 0
MED8 0 0
AIM4 2 1
MSI1 4 3
PGI1 1 0
YBR196C-A 6 32
YBR196C-B 4 62
YBR197C 15 379
TAF5 5 4
KTR4 1 0
BEM1 1 0
YBR200W-A 1 0
DER1 3 36
YBR201C-A 1 0
MCM7 4 17
COS111 12 133
LDH1 2 5
KTR3 3 14
YBR206W 1 0
FTH1 8 508
DUR1,2 15 194
YBR209W 4 13
ERV15 0 0
AME1 1 0
NGR1 17 963
MET8 4 34
SDS24 8 57
HPC2 5 4
YBP1 8 136
ATG12 4 20
PYC2 18 168
YBR219C 7 160
YBR220C 6 154
PDB1 3 5
YBR221W-A 8 315
PCS60 5 18
TDP1 14 85
YBR223W-A 6 28
YBR224W 6 44
YBR225W 14 83
YBR226C 0 0
MCX1 7 54
SLX1 0 0
ROT2 19 443
OM14 3 5
YBR230W-A 6 315
SWC5 2 1
YBR232C 0 0
PBP2 4 129
DAD3 0 0
ARC40 3 3
VHC1 16 490
ABD1 4 3
PRP5 5 6
YBR238C 8 43
ERT1 9 18
THI2 10 274
YBR241C 12 37
YBR242W 7 194
ALG7 2 1
GPX2 6 140
ISW1 19 490
RRT2 6 14
ENP1 1 0
HIS7 6 77
ARO4 2 5
SPO23 6 367
MRPS5 5 38
DUT1 0 0
SRB6 0 0
TRS20 0 0
MTC4 8 42
YBR255C-A 0 0
RIB5 1 0
POP4 1 0
SHG1 4 67
YBR259W 10 22
RGD1 7 104
TAE1 6 159
MIC12 4 5
SHM1 3 2
YPT10 5 6
TSC10 2 1
REI1 4 4
SLM6 2 2
MRPL37 1 0
SDH8 0 0
BIT2 5 12
EFM2 6 7
HSM3 3 2
UBX7 6 32
CHK1 9 428
RIF1 10 129
PPS1 9 34
YBR277C 3 2
DPB3 1 0
PAF1 1 0
SAF1 4 17
DUG2 5 6
MRPL27 1 0
SSH1 3 3
YBR284W 13 114
YBR285W 1 0
APE3 11 126
YBR287W 7 13
APM3 3 4
SNF5 5 8
BSD2 2 8
CTP1 10 220
YBR292C 4 9
VBA2 6 18
SUL1 21 507
PCA1 18 3663
PHO89 12 932
YBR296C-A 3 21
MAL33 2 1
MAL31 10 842
YBR298C-A 2 65
MAL32 4 3
YBR300C 3 7
PAU24 3 3
COS2 0 0
YCL076W 0 0
GEX1 4 3
VBA3 1 0
YCL068C 1 0
HMLALPHA2 0 0
HMLALPHA1 1 0
YCL065W 0 0
CHA1 6 19
VAC17 2 2
MRC1 5 8
KRR1 2 1
FYV5 8 146
ADF1 4 42
MIC10 10 50
PRD1 9 46
PEX34 4 159
KAR4 4 26
RDT1 1 0
SPB1 6 6
PBN1 6 24
LRE1 19 1898
APA1 7 164
YCL049C 6 26
YCL048W-A 4 9
SPS22 11 46
POF1 8 14
EMC1 16 115
YCL046W 4 4
MGR1 16 310
PDI1 7 73
YCL041C 2 2
YCL042W 5 17
GLK1 35 1320
GID7 26 949
ATG22 6 9
SRO9 2 1
GFD2 18 529
GRX1 3 10
LSB5 14 300
MXR2 7 20
STE50 12 168
RRP7 5 4
HIS4 30 578
BIK1 46 1139
RNQ1 13 258
FUS1 21 554
HBN1 5 5
FRM2 6 50
AGP1 26 764
YCL023C 6 216
KCC4 27 700
YCL022C 7 147
YCL021W-A 10 530
LEU2 22 365
NFS1 4 11
DCC1 9 39
BUD3 34 984
YCL012C 6 57
GBP2 18 332
SGF29 14 333
ILV6 15 283
STP22 44 1217
YCL007C 3 15
VMA9 2 4
LDB16 23 424
PGS1 14 275
YCL002C 25 343
RER1 11 100
YCL001W-A 3 2
YCL001W-B 3 8
YCR001W 4 15
CDC10 1 0
MRPL32 16 578
YCP4 8 180
CIT2 32 964
YCR006C 70 1334
YCR007C 17 269
SAT4 25 506
RVS161 9 79
ADY2 13 356
ADP1 28 905
PGK1 0 0
YCR013C 1 0
POL4 22 1408
YCR015C 13 625
YCR016W 6 13
CWH43 26 278
SRD1 4 17
YCR018C-A 10 303
MAK32 19 266
PET18 9 240
MAK31 1 0
HTL1 0 0
HSP30 11 369
YCR022C 20 100
YCR023C 20 286
SLM5 9 112
YCR024C-B 5 84
PMP1 1 0
YCR025C 22 1075
NPP1 28 495
RHB1 4 9
FEN2 5 6
RIM1 3 6
SYP1 15 281
RPS14A 4 6
BPH1 29 375
SNT1 20 410
ELO2 8 75
RRP43 0 0
RBK1 6 47
PHO87 13 807
BUD5 6 17
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 0 0
TAF2 3 4
YCR043C 7 7
PER1 7 15
RRT12 12 292
YCR045W-A 2 19
IMG1 1 0
BUD23 1 0
YCR047W-A 0 0
YCR049C 3 30
ARE1 19 416
YCR050C 3 2
YCR051W 11 968
RSC6 5 62
THR4 1 0
CTR86 1 0
PWP2 8 14
YIH1 7 132
TAH1 4 4
YCR061W 29 1137
YCR064C 14 500
BUD31 2 2
HCM1 13 115
RAD18 0 0
SED4 13 89
ATG15 19 711
CPR4 6 66
IMG2 7 60
RSA4 3 2
SSK22 17 313
SOL2 4 88
ERS1 5 12
YCR075W-A 1 0
FUB1 11 78
PAT1 5 5
PTC6 9 110
SRB8 18 122
YCR081C-A 2 2
AHC2 4 35
TRX3 8 170
TUP1 7 90
YCR085W 0 0
CSM1 2 1
YCR087W 3 2
YCR087C-A 3 2
ABP1 8 51
FIG2 13 171
YCR090C 1 0
KIN82 14 186
MSH3 17 905
CDC39 14 67
CDC50 9 27
OCA4 1 0
YCR095W-A 1 0
HMRA2 0 0
HMRA1 3 251
YCR097W-A 0 0
GIT1 8 61
YCR099C 2 2
YCR100C 5 6
YCR101C 6 11
YCR102C 8 294
YCR102W-A 2 10
PAU3 1 0
ADH7 5 5
RDS1 12 28
AAD3 11 691
YCR108C 6 10
COS7 0 0
YDL247W-A 0 0
MPH2 3 6
SOR2 4 3
HXT15 4 5
THI13 7 16
AAD4 13 424
YDL242W 0 0
YDL241W 1 0
YDL240C-A 4 14
LRG1 16 56
ADY3 1 0
GUD1 9 78
AIM6 5 6
PHO13 6 17
YPD1 0 0
GYP7 6 16
MFG1 4 5
OST4 0 0
BRE4 6 41
PTP1 3 3
SSB1 0 0
YDL228C 0 0
HO 19 1129
GCS1 4 3
SHS1 7 32
WHI4 15 1954
HBT1 29 1181
FMP45 6 33
YDL221W 3 3
CDC13 10 63
DTD1 1 0
YDL218W 3 75
TIM22 2 1
RRI1 7 94
GDH2 17 971
PRR2 9 19
NOP6 7 82
SHR3 1 0
YDL211C 7 161
UGA4 3 11
CWC2 0 0
NHP2 0 0
GLE1 1 0
YDL206W 4 4
HEM3 5 4
RTN2 8 12
ACK1 6 19
MRPL11 1 0
TRM8 7 31
MGT1 5 23
YDL199C 7 193
GGC1 0 0
ASF2 10 60
YDL196W 23 744
SEC31 3 5
SNF3 13 189
NUS1 0 0
ARF1 1 0
RPL35A 0 0
UFD2 8 23
RBS1 5 67
PPH22 4 14
YDL187C 0 0
YDL186W 4 8
YDL185C-A 2 2
VMA1 8 10
RPL41A 0 0
YDL183C 3 6
LYS20 7 8
INH1 4 109
YDL180W 12 99
PCL9 2 4
DLD2 4 4
YDL177C 3 16
YDL176W 9 132
AIR2 7 11
DLD1 16 137
PAR32 1 0
YDL172C 1 0
GLT1 43 1993
UGA3 9 30
UGX2 6 67
SFA1 5 24
NRP1 13 50
FAP7 0 0
CDC36 0 0
CDC9 3 8
YDL163W 1 0
YDL162C 4 25
ENT1 2 1
MHF2 1 0
DHH1 4 5
YDL159W-A 2 7
STE7 8 311
YDL159C-B 2 1
YDL158C 2 1
YDL157C 0 0
CMR1 5 710
CLB3 7 100
MSH5 13 252
SAS10 0 0
YDL152W 2 3
BUD30 0 0
RPC53 1 0
ATG9 10 23
NOP14 6 6
RPN5 1 0
LDB17 1 0
COP1 4 6
YDL144C 3 15
CCT4 3 2
CRD1 3 3
BPL1 5 4
RPO21 14 27
SCM3 1 0
RGT2 9 28
ARF2 1 0
RPL35B 1 0
RDI1 7 118
PPH21 12 177
RPL41B 0 0
SRF1 9 237
CDC53 4 3
LYS21 12 338
STF1 0 0
RPP1B 2 1
YDL129W 3 144
VCX1 7 18
PCL2 10 279
CDC48 8 17
HNT1 1 0
YDL124W 8 357
SNA4 1 0
UBP1 7 8
YDL121C 2 1
YFH1 1 0
YDL119C 2 1
YDL118W 0 0
CYK3 9 40
NUP84 1 0
IWR1 6 19
YDL114W-A 0 0
YDL114W 6 22
ATG20 8 29
TRM3 15 503
RRP42 0 0
TMA17 2 1
YDL109C 13 116
KIN28 0 0
MSS2 5 18
PHO2 6 13
NSE4 0 0
QRI7 5 38
QRI1 2 1
POL3 6 10
DUN1 2 1
GET3 4 5
BUG1 4 23
SNU23 0 0
RPN6 1 0
OPI6 2 1
PMT1 10 26
YDL094C 8 72
PMT5 17 684
SRP14 4 5
UBX3 8 84
RAM1 0 0
NUR1 6 11
ASM4 1 0
LUC7 3 3
YDL086W 18 881
YDL086C-A 12 517
YDL085C-A 5 33
NDE2 12 282
SUB2 1 0
RPS16B 0 0
RPL13A 3 2
RPP1A 0 0
THI3 7 56
MRK1 15 212
MDH3 2 3
VAM6 2 11
RXT3 10 281
RPL31A 0 0
BRE1 2 1
YDL073W 9 156
YET3 3 10
YDL071C 7 42
BDF2 9 102
CBS1 4 55
YDL068W 4 55
COX9 1 0
IDP1 14 97
PEX19 5 6
UBC9 3 4
SYO1 9 25
YDL062W 0 0
RPS29B 0 0
TSR1 4 3
RAD59 5 37
USO1 15 75
YDL057W 8 82
MBP1 13 28
PSA1 0 0
MCH1 8 68
PBP4 3 2
SLC1 20 1826
LHP1 15 552
YDL050C 8 168
KNH1 17 779
STP4 22 411
SIT4 6 12
NPC2 1 0
MRP10 2 1
FAD1 1 0
MTF2 0 0
PRP11 0 0
SIR2 16 362
YDL041W 6 236
NAT1 15 119
PRM7 11 199
BSC1 1 0
PUS9 11 529
GPR1 22 316
YDL034W 7 375
SLM3 19 382
YDL032W 3 8
DBP10 5 9
PRP9 5 7
ARP2 1 0
MPS1 2 2
YDL027C 7 73
YDL026W 1 0
RTK1 8 75
YDL025W-A 0 0
DIA3 14 163
YDL022C-A 4 84
YDL023C 3 3
GPD1 11 180
GPM2 14 433
RPN4 5 12
OSH2 21 768
ERP3 5 18
CDC7 0 0
YDL016C 0 0
TSC13 2 1
NOP1 0 0
SLX5 2 1
YDL012C 6 43
YDL011C 9 807
GRX6 10 809
YDL009C 2 4
APC11 3 18
YDL007C-A 0 0
RPT2 2 1
PTC1 1 0
MED2 9 24
ATP16 0 0
MCD1 6 13
NHP10 10 35
RMD1 34 1094
NTH1 44 1793
YRB1 0 0
RCR2 15 460
YDR003W-A 4 39
RAD57 8 21
MAF1 7 62
SOK1 22 187
TRP1 389 111555
YDR008C 144 23335
GAL3 28 709
YDR010C 36 1845
SNQ2 36 982
RPL4B 5 22
PSF1 0 0
RAD61 6 72
HED1 7 67
YDR015C 6 61
DAD1 1 0
KCS1 22 272
YDR018C 19 1288
GCV1 11 67
DAS2 18 1641
FAL1 0 0
ATG31 7 75
SES1 0 0
FYV1 6 48
RPS11A 1 0
NSI1 8 30
VPS54 10 23
REG1 13 62
YDR029W 6 8
RAD28 16 1043
MIX14 4 18
PST2 7 107
MRH1 1 0
LYS14 13 263
YDR034C-A 2 1
YDR034W-B 0 0
ARO3 11 2382
EHD3 12 180
KRS1 4 5
ENA5 15 146
ENA2 6 10
ENA1 9 114
RSM10 0 0
YDR042C 4 58
NRG1 2 1
HEM13 3 2
RPC11 0 0
BAP3 10 443
HEM12 3 3
YDR048C 14 548
VMS1 9 72
TPI1 0 0
DET1 8 87
DBF4 0 0
YDR053W 0 0
CDC34 0 0
PST1 9 129
YDR056C 2 24
YOS9 9 239
TGL2 3 20
UBC5 8 73
MAK21 3 4
YDR061W 11 59
LCB2 3 3
AIM7 4 6
RPS13 0 0
RRG1 5 13
RTR2 3 8
OCA6 6 39
DOS2 2 1
DOA4 9 124
FMP16 1 0
PAA1 7 22
IPT1 5 130
SNF11 3 24
TPS2 17 137
PPH3 5 20
RAD55 13 337
SED1 0 0
SHU2 2 3
PET100 2 2
TFB5 0 0
VPS41 4 4
PDC2 1 0
STN1 9 134
RRP8 4 15
TVP23 2 3
AFR1 3 4
SSS1 0 0
RRP1 0 0
SLU7 1 0
YDR089W 12 59
YDR090C 4 36
RLI1 0 0
UBC13 4 94
DNF2 65 4255
YDR094W 14 496
YDR095C 17 438
