gene_name number_of_transposon_per_gene number_of_read_per_gene
IST2 11 35
RFC5 1 0
POL30 2 1
YBR089W 2 1
NHP6B 8 200
YBR090C 19 210
TIM12 0 0
PHO3 10 146
PHO5 6 11
PBY1 9 243
RXT2 4 8
YBR096W 8 201
VPS15 8 12
MMS4 7 7
YBR099C 1 0
FES1 2 1
EXO84 7 7
SIF2 9 125
YBR103C-A 6 131
YMC2 2 32
VID24 5 42
PHO88 1 0
IML3 0 0
AIM3 13 60
CMD1 0 0
YBR109W-A 9 261
ALG1 0 0
YSA1 5 17
SUS1 1 0
CYC8 4 5
YBR113W 1 0
RAD16 24 388
LYS2 13 162
YBR116C 12 71
TKL2 18 532
TEF2 1 0
MUD1 3 2
CBP6 0 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 4 54
TFC1 0 0
YBR124W 5 25
PTC4 7 69
TPS1 3 2
YBR126W-A 3 27
YBR126W-B 4 28
VMA2 2 1
ATG14 14 61
OPY1 3 50
SHE3 1 0
CCZ1 6 11
YBR131C-A 0 0
AGP2 9 122
HSL7 8 140
YBR134W 9 232
CKS1 0 0
MEC1 10 14
YBR137W 2 2
YBR138C 9 414
YBR139W 10 96
IRA1 19 250
BMT2 9 547
YBR141W-A 0 0
MAK5 3 2
SUP45 1 0
YBR144C 9 139
ADH5 4 51
MRPS9 4 4
RTC2 8 16
YSW1 12 69
ARA1 7 38
TBS1 19 253
APD1 11 121
SPP381 6 352
RIB7 0 0
RPB5 0 0
CNS1 0 0
SLI15 4 5
ICS2 8 151
AMN1 5 5
IFA38 1 0
CDC28 4 5
CSH1 3 4
TOS1 12 50
YSY6 3 6
EXO5 3 4
ARL1 0 0
UBS1 2 1
TYR1 11 45
POP7 0 0
PEX32 3 3
SSE2 2 1
NPL4 4 4
SEC66 6 60
SMY2 8 83
UMP1 0 0
YBR174C 2 1
SWD3 5 8
ECM31 4 38
EHT1 2 1
YBR178W 4 14
FZO1 8 21
DTR1 4 4
RPS6B 0 0
SMP1 4 25
YBR182C-A 2 1
YPC1 4 19
YBR184W 12 109
MBA1 1 0
PCH2 14 72
GDT1 4 4
NTC20 1 0
RPS9B 0 0
YBR190W 2 1
RPL21A 1 0
YBR191W-A 0 0
RIM2 1 0
MED8 1 0
AIM4 1 0
MSI1 6 108
PGI1 1 0
YBR196C-A 4 18
YBR196C-B 5 29
YBR197C 15 741
TAF5 5 4
KTR4 3 33
BEM1 2 2
YBR200W-A 0 0
DER1 2 2
YBR201C-A 1 0
MCM7 4 8
COS111 14 188
LDH1 9 324
KTR3 11 183
YBR206W 2 32
FTH1 6 48
DUR1,2 25 271
YBR209W 4 14
ERV15 0 0
AME1 1 0
NGR1 9 54
MET8 12 276
SDS24 13 275
HPC2 6 5
YBP1 2 1
ATG12 5 111
PYC2 21 172
YBR219C 18 312
YBR220C 23 478
PDB1 5 11
YBR221W-A 7 75
PCS60 7 139
