gene_name number_of_transposon_per_gene number_of_read_per_gene
IST2 13 162
RFC5 3 5
POL30 3 7
YBR089W 3 7
NHP6B 7 32
YBR090C 19 62
TIM12 2 1
PHO3 5 239
PHO5 9 153
PBY1 16 180
RXT2 3 9
YBR096W 6 31
VPS15 12 197
MMS4 6 47
YBR099C 2 10
FES1 4 11
EXO84 18 81
SIF2 6 12
YBR103C-A 8 122
YMC2 10 170
VID24 8 62
PHO88 0 0
IML3 0 0
AIM3 9 44
CMD1 0 0
YBR109W-A 5 11
ALG1 2 1
YSA1 11 27
SUS1 0 0
CYC8 5 5
YBR113W 7 18
RAD16 18 285
LYS2 24 143
YBR116C 10 53
TKL2 17 275
TEF2 4 11
MUD1 9 125
CBP6 1 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 2
TFC1 5 25
YBR124W 4 33
PTC4 5 31
TPS1 6 33
YBR126W-A 1 0
YBR126W-B 2 1
VMA2 4 11
ATG14 8 124
OPY1 2 2
SHE3 5 57
CCZ1 4 6
YBR131C-A 1 0
AGP2 4 66
HSL7 12 30
YBR134W 9 143
CKS1 2 1
MEC1 9 30
YBR137W 2 1
YBR138C 6 8
YBR139W 14 219
IRA1 43 379
BMT2 11 103
YBR141W-A 2 3
MAK5 8 36
SUP45 2 2
YBR144C 11 236
ADH5 5 38
MRPS9 6 84
RTC2 8 123
YSW1 18 309
ARA1 9 182
TBS1 16 113
APD1 8 36
SPP381 5 69
RIB7 0 0
RPB5 1 0
CNS1 1 0
SLI15 7 35
ICS2 6 19
AMN1 25 588
IFA38 3 25
CDC28 4 14
CSH1 3 2
TOS1 12 238
YSY6 0 0
EXO5 11 96
ARL1 2 2
UBS1 3 7
TYR1 4 11
POP7 1 0
PEX32 0 0
SSE2 16 89
NPL4 15 85
SEC66 5 10
SMY2 4 23
UMP1 0 0
YBR174C 4 39
SWD3 7 68
ECM31 8 94
EHT1 9 65
YBR178W 16 175
FZO1 15 60
DTR1 10 46
RPS6B 0 0
SMP1 5 61
YBR182C-A 0 0
YPC1 5 54
YBR184W 7 94
MBA1 9 46
PCH2 14 88
GDT1 3 2
NTC20 3 11
RPS9B 0 0
YBR190W 0 0
RPL21A 0 0
YBR191W-A 0 0
RIM2 1 0
MED8 0 0
AIM4 2 22
MSI1 5 46
PGI1 1 0
YBR196C-A 6 71
YBR196C-B 1 0
YBR197C 19 315
TAF5 7 50
KTR4 9 175
BEM1 0 0
YBR200W-A 3 5
DER1 1 0
YBR201C-A 1 0
MCM7 8 145
COS111 25 177
LDH1 6 79
KTR3 12 252
YBR206W 4 33
FTH1 10 16
DUR1,2 37 508
YBR209W 14 499
ERV15 0 0
AME1 2 1
NGR1 9 117
MET8 32 596
SDS24 17 179
HPC2 9 26
YBP1 14 320
ATG12 5 32
PYC2 20 202
YBR219C 12 57
YBR220C 21 363
PDB1 4 20
YBR221W-A 4 109
PCS60 14 99
TDP1 10 183
YBR223W-A 3 3
YBR224W 9 43
YBR225W 8 69
YBR226C 3 12
MCX1 3 2
SLX1 6 17
ROT2 31 291
OM14 3 7
YBR230W-A 7 24
SWC5 9 30
YBR232C 1 0
PBP2 9 70
DAD3 0 0
ARC40 3 2
VHC1 24 172
ABD1 4 49
PRP5 7 20
YBR238C 5 11
ERT1 12 159
THI2 10 137
YBR241C 19 165
YBR242W 6 22
ALG7 0 0
GPX2 3 3
ISW1 26 266
RRT2 7 58
ENP1 3 12
HIS7 7 26
ARO4 2 6
SPO23 12 360
MRPS5 12 315
DUT1 1 0
SRB6 0 0
TRS20 2 1
MTC4 11 146
YBR255C-A 7 28
RIB5 4 17
POP4 3 2
SHG1 0 0
YBR259W 16 239
RGD1 21 125
TAE1 3 11
MIC12 2 1
SHM1 5 63
YPT10 3 3
TSC10 1 0
REI1 5 25
SLM6 1 0
MRPL37 0 0
SDH8 3 3
BIT2 8 74
EFM2 12 57
HSM3 9 65
UBX7 10 155
CHK1 5 19
RIF1 43 728
PPS1 14 69
YBR277C 1 0
DPB3 6 22
PAF1 5 8
SAF1 11 129
DUG2 14 109
MRPL27 2 2
SSH1 2 3
YBR284W 10 83
YBR285W 1 0
APE3 15 395
YBR287W 10 118
APM3 4 9
SNF5 13 146
BSD2 3 13
CTP1 18 313
YBR292C 8 80
VBA2 8 119
SUL1 17 167
PCA1 28 258
PHO89 23 405
YBR296C-A 9 157
MAL33 16 395
MAL31 15 134
YBR298C-A 3 6
MAL32 6 23
YBR300C 4 7
PAU24 4 9
COS2 2 1
YCL076W 1 0
GEX1 7 17
VBA3 2 1
YCL068C 4 7
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 14 94
VAC17 9 51
MRC1 9 67
KRR1 0 0
FYV5 9 125
ADF1 6 40
MIC10 6 6
PRD1 21 254
PEX34 5 83
KAR4 15 195
RDT1 0 0
SPB1 6 16
PBN1 10 61
LRE1 22 344
APA1 10 93
YCL049C 11 103
YCL048W-A 1 0
SPS22 14 293
POF1 15 196
EMC1 9 24
YCL046W 1 0
MGR1 18 248
PDI1 13 62
YCL041C 11 19
YCL042W 11 125
GLK1 36 561
GID7 39 719
ATG22 23 285
SRO9 10 88
GFD2 34 829
GRX1 2 1
LSB5 20 249
MXR2 7 56
STE50 23 317
RRP7 2 1
HIS4 2 1
BIK1 19 375
RNQ1 20 518
FUS1 34 1040
HBN1 15 90
FRM2 13 261
AGP1 54 941
YCL023C 14 146
KCC4 60 1200
YCL022C 13 298
YCL021W-A 0 0
LEU2 108 2664
NFS1 74 1437
DCC1 1 0
BUD3 69 988
YCL012C 9 30
GBP2 18 96
SGF29 25 139
ILV6 15 120
STP22 11 76
YCL007C 4 44
VMA9 1 0
LDB16 14 222
PGS1 9 179
YCL002C 36 477
RER1 7 11
YCL001W-A 6 12
YCL001W-B 6 45
YCR001W 7 85
CDC10 2 1
MRPL32 17 190
YCP4 12 60
CIT2 70 1689
YCR006C 110 2336
YCR007C 26 291
SAT4 28 265
RVS161 3 6
ADY2 25 493
ADP1 70 1435
PGK1 2 1
YCR013C 2 1
POL4 28 834
YCR015C 22 89
YCR016W 11 32
CWH43 30 305
SRD1 4 9
YCR018C-A 6 141
MAK32 13 284
PET18 9 31
MAK31 3 2
HTL1 0 0
HSP30 20 823
YCR022C 26 394
YCR023C 21 249
SLM5 30 527
YCR024C-B 0 0
PMP1 2 1
YCR025C 33 186
NPP1 30 255
RHB1 2 1
FEN2 2 11
RIM1 1 0
SYP1 27 435
RPS14A 2 2
BPH1 58 601
SNT1 18 145
ELO2 2 1
RRP43 0 0
RBK1 9 183
PHO87 28 1558
BUD5 12 109
YCR038W-A 1 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 0 0
TAF2 9 56
YCR043C 3 2
PER1 2 1
RRT12 9 104
YCR045W-A 1 0
IMG1 10 31
BUD23 0 0
YCR047W-A 0 0
YCR049C 7 30
ARE1 22 318
YCR050C 2 1
YCR051W 12 160
RSC6 1 0
THR4 7 79
CTR86 6 29
PWP2 3 7
YIH1 8 48
TAH1 4 121
YCR061W 42 956
YCR064C 24 258
BUD31 4 16
HCM1 11 38
RAD18 2 1
SED4 28 199
ATG15 31 574
CPR4 11 189
IMG2 2 2
RSA4 1 0
SSK22 43 1031
SOL2 5 17
ERS1 8 184
YCR075W-A 2 7
FUB1 11 206
PAT1 14 52
PTC6 20 142
SRB8 16 134
YCR081C-A 3 4
AHC2 4 21
TRX3 5 31
TUP1 8 21
YCR085W 7 18
CSM1 5 10
YCR087W 3 29
YCR087C-A 3 29
ABP1 20 195
FIG2 14 162
YCR090C 4 20
KIN82 26 401
MSH3 24 178
CDC39 20 47
CDC50 4 3
OCA4 8 51
YCR095W-A 3 21
