gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR085C-A 3 3
IST2 14 377
RFC5 0 0
POL30 1 0
YBR089W 1 0
NHP6B 8 230
YBR090C 14 254
TIM12 0 0
PHO3 5 22
PHO5 3 12
PBY1 8 42
RXT2 2 2
YBR096W 4 143
VPS15 3 2
MMS4 1 0
YBR099C 0 0
FES1 0 0
EXO84 3 3
SIF2 10 28
YBR103C-A 8 352
YMC2 6 54
VID24 10 80
PHO88 2 2
IML3 2 1
AIM3 12 292
CMD1 0 0
YBR109W-A 5 13
ALG1 1 0
YSA1 2 11
SUS1 1 0
CYC8 6 12
YBR113W 7 13
RAD16 9 15
LYS2 6 28
YBR116C 4 9
TKL2 17 294
TEF2 2 2
MUD1 0 0
CBP6 1 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 1
TFC1 2 1
YBR124W 9 1022
PTC4 9 47
TPS1 0 0
YBR126W-A 1 0
YBR126W-B 0 0
VMA2 0 0
ATG14 8 169
OPY1 2 2
SHE3 6 43
CCZ1 8 24
YBR131C-A 1 0
AGP2 12 248
HSL7 10 310
YBR134W 9 402
CKS1 0 0
MEC1 8 31
YBR137W 1 0
YBR138C 6 10
YBR139W 10 690
IRA1 20 131
BMT2 11 949
YBR141W-A 0 0
MAK5 3 2
SUP45 1 0
YBR144C 18 421
ADH5 4 32
MRPS9 5 68
RTC2 7 15
YSW1 18 814
ARA1 2 1
TBS1 12 167
APD1 6 20
SPP381 0 0
RIB7 0 0
RPB5 1 0
CNS1 1 0
SLI15 5 6
ICS2 4 18
AMN1 4 5
IFA38 0 0
CDC28 1 0
CSH1 1 0
TOS1 11 233
YSY6 3 2
EXO5 10 128
ARL1 1 0
UBS1 2 5
TYR1 5 26
POP7 0 0
PEX32 11 164
SSE2 5 11
NPL4 7 10
SEC66 1 0
SMY2 6 21
UMP1 2 1
YBR174C 5 126
SWD3 1 0
ECM31 2 1
EHT1 13 322
YBR178W 6 12
FZO1 2 1
DTR1 4 16
RPS6B 0 0
SMP1 2 1
YBR182C-A 1 0
YPC1 2 2
YBR184W 12 188
MBA1 6 8
PCH2 10 323
GDT1 4 96
NTC20 0 0
RPS9B 0 0
YBR190W 2 4
RPL21A 0 0
YBR191W-A 0 0
RIM2 3 3
MED8 1 0
AIM4 0 0
MSI1 6 50
PGI1 2 1
