gene_name number_of_transposon_per_gene number_of_read_per_gene
RPG1 11 172
SEC18 2 1
SPT7 17 209
UBC4 3 12
TEC1 24 317
MIS1 21 477
RPL19A 7 14
AAC3 13 415
YBR085C-A 2 5
IST2 15 42
RFC5 0 0
POL30 0 0
YBR089W 0 0
NHP6B 11 202
YBR090C 22 253
TIM12 0 0
PHO3 11 108
PHO5 12 112
PBY1 21 328
RXT2 7 22
YBR096W 6 30
VPS15 5 16
MMS4 24 335
YBR099C 9 107
FES1 1 0
EXO84 12 55
SIF2 8 113
YBR103C-A 12 252
YMC2 24 178
VID24 2 1
PHO88 1 0
IML3 2 5
AIM3 18 133
CMD1 0 0
YBR109W-A 4 14
ALG1 0 0
YSA1 5 15
SUS1 1 0
CYC8 3 33
YBR113W 2 1
RAD16 25 242
LYS2 20 89
YBR116C 17 217
TKL2 29 973
TEF2 1 0
MUD1 11 97
CBP6 0 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 1
TFC1 2 1
YBR124W 7 48
PTC4 7 34
TPS1 5 10
YBR126W-A 9 102
YBR126W-B 6 105
VMA2 3 5
ATG14 10 43
OPY1 7 127
SHE3 4 22
CCZ1 1 0
YBR131C-A 0 0
AGP2 18 304
HSL7 2 1
YBR134W 13 304
CKS1 1 0
MEC1 4 4
YBR137W 6 44
YBR138C 9 353
YBR139W 21 376
IRA1 12 95
BMT2 19 196
YBR141W-A 3 33
MAK5 2 1
SUP45 1 0
YBR144C 13 475
ADH5 11 59
MRPS9 0 0
RTC2 9 122
YSW1 15 429
ARA1 13 466
TBS1 24 531
APD1 10 66
SPP381 5 20
RIB7 2 1
RPB5 0 0
CNS1 2 4
SLI15 3 2
ICS2 5 17
AMN1 14 92
IFA38 0 0
CDC28 1 0
CSH1 11 54
TOS1 17 57
YSY6 1 0
EXO5 3 3
ARL1 0 0
UBS1 5 9
TYR1 15 86
POP7 1 0
PEX32 11 54
SSE2 13 215
NPL4 6 21
SEC66 3 10
SMY2 18 152
UMP1 1 0
YBR174C 1 0
SWD3 2 2
ECM31 11 184
EHT1 16 354
YBR178W 13 125
FZO1 3 2
DTR1 15 522
RPS6B 0 0
SMP1 15 127
YBR182C-A 0 0
YPC1 10 46
YBR184W 12 95
MBA1 5 10
PCH2 21 342
GDT1 5 20
NTC20 4 11
RPS9B 1 0
YBR190W 2 10
RPL21A 2 1
YBR191W-A 0 0
RIM2 0 0
MED8 0 0
AIM4 3 2
MSI1 9 177
PGI1 0 0
YBR196C-A 11 60
YBR196C-B 5 77
YBR197C 42 1030
TAF5 2 1
KTR4 6 24
BEM1 3 4
YBR200W-A 1 0
DER1 12 152
YBR201C-A 1 0
MCM7 3 4
COS111 12 423
LDH1 7 130
KTR3 10 112
YBR206W 3 6
FTH1 16 395
DUR1,2 68 2374
YBR209W 20 235
ERV15 1 0
AME1 1 0
NGR1 12 174
MET8 9 33
SDS24 10 104
HPC2 5 16
YBP1 6 33
ATG12 1 0
PYC2 15 55
YBR219C 30 688
YBR220C 34 744
PDB1 4 3
YBR221W-A 16 371
PCS60 42 1449
TDP1 34 744
YBR223W-A 9 264
YBR224W 5 13
YBR225W 19 268
YBR226C 2 3
MCX1 9 46
SLX1 12 76
ROT2 15 139
OM14 2 1
YBR230W-A 7 26
SWC5 3 2
YBR232C 1 0
PBP2 9 38
DAD3 0 0
ARC40 0 0
VHC1 31 487
ABD1 0 0
PRP5 2 1
YBR238C 9 14
ERT1 51 2070
THI2 21 407
YBR241C 38 758
YBR242W 9 209
ALG7 0 0
GPX2 3 38
ISW1 25 555
RRT2 11 164
ENP1 0 0
HIS7 11 75
ARO4 4 10
SPO23 11 146
MRPS5 2 1
DUT1 0 0
SRB6 0 0
TRS20 0 0
MTC4 15 739
YBR255C-A 2 10
RIB5 0 0
POP4 0 0
SHG1 1 0
YBR259W 18 275
RGD1 12 48
TAE1 11 308
MIC12 0 0
SHM1 4 3
YPT10 9 138
TSC10 1 0
REI1 1 0
SLM6 0 0
MRPL37 0 0
SDH8 1 0
BIT2 10 65
