gene_name number_of_transposon_per_gene number_of_read_per_gene
SPT7 16 145
UBC4 4 6
TEC1 17 328
MIS1 31 1644
RPL19A 3 2
AAC3 14 443
YBR085C-A 8 310
IST2 35 759
RFC5 1 0
POL30 1 0
YBR089W 1 0
NHP6B 20 583
YBR090C 31 649
TIM12 1 0
PHO3 14 62
PHO5 18 943
PBY1 20 259
RXT2 10 167
YBR096W 9 147
VPS15 7 44
MMS4 4 3
YBR099C 1 0
FES1 3 2
EXO84 7 41
SIF2 20 190
YBR103C-A 12 251
YMC2 10 462
VID24 18 218
PHO88 6 28
IML3 2 10
AIM3 19 593
CMD1 0 0
YBR109W-A 7 235
ALG1 2 1
YSA1 13 384
SUS1 1 0
CYC8 11 31
YBR113W 6 23
RAD16 22 370
LYS2 26 864
YBR116C 15 110
TKL2 34 440
TEF2 5 14
MUD1 3 5
CBP6 4 4
GRS1 0 0
YBR121C-A 0 0
MRPL36 5 22
TFC1 7 34
YBR124W 14 348
PTC4 13 150
TPS1 6 11
YBR126W-A 8 65
YBR126W-B 8 82
VMA2 5 9
ATG14 19 515
OPY1 5 26
SHE3 5 180
CCZ1 11 266
YBR131C-A 0 0
AGP2 23 771
HSL7 14 154
YBR134W 16 304
CKS1 3 2
MEC1 14 559
YBR137W 9 129
YBR138C 9 497
YBR139W 23 443
IRA1 37 877
BMT2 16 420
YBR141W-A 2 1
MAK5 5 6
SUP45 0 0
YBR144C 21 1095
ADH5 12 231
MRPS9 5 25
RTC2 6 250
YSW1 24 628
ARA1 4 46
TBS1 26 697
APD1 14 103
SPP381 4 22
RIB7 1 0
RPB5 0 0
CNS1 2 3
SLI15 3 9
ICS2 5 15
AMN1 21 821
IFA38 0 0
CDC28 0 0
CSH1 9 67
TOS1 12 283
YSY6 3 22
EXO5 13 106
ARL1 0 0
UBS1 11 85
TYR1 17 711
POP7 0 0
PEX32 8 152
SSE2 24 510
NPL4 7 129
SEC66 4 24
SMY2 9 70
UMP1 1 0
YBR174C 6 42
SWD3 6 107
ECM31 10 190
EHT1 12 230
YBR178W 16 196
FZO1 12 43
DTR1 17 329
RPS6B 0 0
SMP1 6 20
YBR182C-A 2 25
YPC1 12 343
YBR184W 9 119
MBA1 8 116
PCH2 23 706
GDT1 8 54
NTC20 5 26
RPS9B 0 0
YBR190W 1 0
RPL21A 3 2
YBR191W-A 0 0
RIM2 1 0
MED8 0 0
AIM4 2 1
MSI1 5 6
PGI1 0 0
YBR196C-A 12 101
YBR196C-B 7 219
YBR197C 22 788
TAF5 0 0
KTR4 9 77
BEM1 3 7
YBR200W-A 1 0
DER1 3 9
YBR201C-A 4 157
MCM7 8 128
COS111 16 248
LDH1 8 257
KTR3 10 250
YBR206W 6 96
FTH1 12 394
DUR1,2 55 1496
YBR209W 33 1482
ERV15 2 3
AME1 3 7
NGR1 11 260
MET8 17 155
SDS24 19 274
HPC2 10 100
YBP1 7 17
ATG12 7 133
PYC2 26 540
YBR219C 12 96
YBR220C 17 323
PDB1 11 150
YBR221W-A 21 583
PCS60 23 784
TDP1 26 834
YBR223W-A 13 697
YBR224W 11 67
YBR225W 21 426
YBR226C 4 5
MCX1 9 39
SLX1 2 1
ROT2 18 380
OM14 10 65
YBR230W-A 6 46
SWC5 9 96
YBR232C 6 12
PBP2 14 127
DAD3 0 0
ARC40 5 5
VHC1 19 266
ABD1 4 3
PRP5 2 1
YBR238C 18 394
ERT1 19 986
THI2 18 276
YBR241C 29 384
YBR242W 10 68
ALG7 1 0
GPX2 3 4
ISW1 26 616
RRT2 13 265
ENP1 0 0
HIS7 12 292
ARO4 12 171
SPO23 15 349
MRPS5 9 81
DUT1 2 1
SRB6 2 6
TRS20 0 0
MTC4 14 558
YBR255C-A 2 8
RIB5 1 0
POP4 0 0
SHG1 5 20
YBR259W 22 729
RGD1 9 26
TAE1 8 228
MIC12 2 2
SHM1 8 90
YPT10 8 182
TSC10 4 3
REI1 8 27
SLM6 4 4
MRPL37 3 10
SDH8 6 25
BIT2 17 393
EFM2 11 195
HSM3 6 151
UBX7 8 134
CHK1 11 208
RIF1 43 1027
PPS1 25 538
YBR277C 12 137
DPB3 11 126
PAF1 9 54
SAF1 13 181
DUG2 21 255
MRPL27 2 1
SSH1 5 10
YBR284W 24 868
YBR285W 0 0
APE3 22 632
YBR287W 7 77
APM3 8 62
SNF5 14 209
BSD2 9 107
CTP1 21 783
YBR292C 14 181
VBA2 12 435
SUL1 18 800
PCA1 30 542
PHO89 31 777
YBR296C-A 2 15
MAL33 11 100
MAL31 10 82
YBR298C-A 9 74
MAL32 4 16
YBR300C 5 19
PAU24 4 3
COS2 2 1
YCL076W 0 0
GEX1 4 3
VBA3 1 0
YCL068C 5 80
HMLALPHA2 0 0
HMLALPHA1 1 0
YCL065W 1 0
CHA1 11 192
VAC17 9 98
MRC1 13 99
KRR1 3 19
FYV5 8 343
ADF1 2 2
MIC10 14 356
PRD1 32 626
PEX34 8 38
KAR4 12 192
RDT1 1 0
SPB1 9 9
PBN1 10 92
LRE1 30 1350
APA1 11 332
YCL049C 19 249
YCL048W-A 5 10
SPS22 28 1052
POF1 17 935
EMC1 27 450
YCL046W 7 21
MGR1 30 1034
PDI1 5 7
YCL041C 28 98
YCL042W 20 238
GLK1 65 1671
GID7 65 2465
ATG22 31 498
SRO9 15 292
GFD2 44 2206
GRX1 13 448
LSB5 32 1031
MXR2 10 61
STE50 29 969
RRP7 2 1
HIS4 71 1532
BIK1 79 1645
RNQ1 20 838
FUS1 51 1828
HBN1 14 91
FRM2 30 1176
AGP1 69 2813
YCL023C 29 1249
KCC4 73 2162
YCL022C 13 237
YCL021W-A 29 1289
LEU2 38 1560
NFS1 4 16
DCC1 18 151
BUD3 127 3377
YCL012C 31 354
GBP2 48 749
SGF29 33 793
ILV6 65 1148
STP22 89 2704
YCL007C 8 119
VMA9 8 147
LDB16 37 969
PGS1 35 901
YCL002C 48 2380
RER1 29 274
YCL001W-A 11 90
YCL001W-B 8 43
YCR001W 16 417
CDC10 0 0
MRPL32 40 773
YCP4 21 453
CIT2 75 2730
YCR006C 166 4603
YCR007C 47 1149
SAT4 37 1142
RVS161 28 560
ADY2 36 651
ADP1 89 2711
PGK1 0 0
YCR013C 0 0
POL4 49 1434
YCR015C 34 860
YCR016W 16 119
CWH43 51 1540
SRD1 11 333
YCR018C-A 13 506
MAK32 22 630
PET18 22 801
MAK31 6 115
HTL1 0 0
HSP30 36 1869
YCR022C 59 1790
YCR023C 47 1451
SLM5 20 326
YCR024C-B 9 134
PMP1 3 2
YCR025C 58 1396
NPP1 75 1127
RHB1 9 127
FEN2 4 8
RIM1 8 219
SYP1 24 466
RPS14A 7 73
BPH1 81 2250
SNT1 38 1011
ELO2 7 26
RRP43 1 0
RBK1 19 417
PHO87 30 836
BUD5 14 73
YCR038W-A 0 0
MATALPHA2 2 1
MATALPHA1 1 0
YCR041W 3 29
TAF2 9 235
YCR043C 13 706
PER1 10 128
RRT12 31 1334
YCR045W-A 5 27
IMG1 7 33
BUD23 3 2
YCR047W-A 1 0
YCR049C 10 253
ARE1 34 1292
YCR050C 4 30
YCR051W 12 235
RSC6 3 5
THR4 5 63
CTR86 7 111
PWP2 10 108
YIH1 27 972
TAH1 5 58
YCR061W 95 3478
YCR064C 23 873
BUD31 1 0
HCM1 27 403
RAD18 7 17
SED4 37 503
ATG15 43 1192
CPR4 17 306
IMG2 8 95
RSA4 4 3
SSK22 51 1553
SOL2 15 240
ERS1 21 245
YCR075W-A 2 2
FUB1 12 145
PAT1 12 213
PTC6 25 680
SRB8 25 592
YCR081C-A 2 1
AHC2 8 123
TRX3 9 170
TUP1 4 4
YCR085W 10 69
CSM1 3 12
YCR087W 5 58
YCR087C-A 4 50
ABP1 34 664
FIG2 19 436
YCR090C 10 499
KIN82 19 728
MSH3 28 821
CDC39 11 35
CDC50 5 5
OCA4 7 36
YCR095W-A 2 1
HMRA2 0 0
HMRA1 4 16
YCR097W-A 2 1
GIT1 31 913
YCR099C 6 106
YCR100C 14 440
YCR101C 3 26
YCR102C 19 487
YCR102W-A 1 0
PAU3 5 25
ADH7 23 203
RDS1 23 701
AAD3 10 92
YCR108C 11 206
COS7 0 0
YDL247W-A 1 0
MPH2 7 7
SOR2 4 3
HXT15 4 3
