gene_name number_of_transposon_per_gene number_of_read_per_gene
UBC4 2 1
TEC1 16 125
MIS1 29 1438
RPL19A 8 18
AAC3 3 2
YBR085C-A 10 50
IST2 19 753
RFC5 2 1
POL30 1 0
YBR089W 1 0
NHP6B 13 248
YBR090C 19 317
TIM12 1 0
PHO3 16 96
PHO5 14 81
PBY1 18 560
RXT2 6 6
YBR096W 6 41
VPS15 6 15
MMS4 5 4
YBR099C 1 0
FES1 1 0
EXO84 6 14
SIF2 9 21
YBR103C-A 12 281
YMC2 11 624
VID24 7 27
PHO88 6 124
IML3 4 110
AIM3 23 1005
CMD1 0 0
YBR109W-A 5 30
ALG1 1 0
YSA1 8 379
SUS1 2 8
CYC8 8 44
YBR113W 7 136
RAD16 22 295
LYS2 26 441
YBR116C 17 442
TKL2 45 2104
TEF2 8 58
MUD1 5 11
CBP6 3 2
GRS1 0 0
YBR121C-A 0 0
MRPL36 5 9
TFC1 6 133
YBR124W 6 194
PTC4 7 75
TPS1 2 7
YBR126W-A 10 49
YBR126W-B 7 36
VMA2 1 0
ATG14 16 150
OPY1 8 41
SHE3 2 1
CCZ1 5 69
YBR131C-A 1 0
AGP2 11 184
HSL7 18 258
YBR134W 16 246
CKS1 1 0
MEC1 18 106
YBR137W 1 0
YBR138C 9 110
YBR139W 16 68
IRA1 38 519
BMT2 21 1437
YBR141W-A 2 3
MAK5 1 0
SUP45 1 0
YBR144C 7 120
ADH5 6 139
MRPS9 2 3
RTC2 18 1834
YSW1 15 82
ARA1 9 26
TBS1 25 310
APD1 6 16
SPP381 6 52
RIB7 1 0
RPB5 2 1
CNS1 1 0
SLI15 1 0
ICS2 10 404
AMN1 4 10
IFA38 2 3
CDC28 0 0
CSH1 5 9
TOS1 23 1469
YSY6 0 0
EXO5 10 98
ARL1 4 78
UBS1 4 4
TYR1 4 7
POP7 1 0
PEX32 5 10
SSE2 26 668
NPL4 14 675
SEC66 4 12
SMY2 16 281
UMP1 1 0
YBR174C 6 20
SWD3 3 6
ECM31 9 53
EHT1 15 623
YBR178W 8 41
FZO1 9 41
DTR1 19 575
RPS6B 0 0
SMP1 3 6
YBR182C-A 0 0
YPC1 2 1
YBR184W 11 201
MBA1 5 17
PCH2 17 572
GDT1 4 3
NTC20 3 2
RPS9B 0 0
YBR190W 3 6
RPL21A 2 2
YBR191W-A 0 0
RIM2 8 54
MED8 3 2
AIM4 4 5
MSI1 17 327
PGI1 1 0
YBR196C-A 6 116
YBR196C-B 6 110
YBR197C 27 2297
TAF5 1 0
KTR4 11 46
BEM1 3 2
YBR200W-A 1 0
DER1 11 934
YBR201C-A 0 0
MCM7 12 259
COS111 27 1329
LDH1 15 174
KTR3 11 271
YBR206W 8 168
FTH1 13 192
DUR1,2 49 2795
YBR209W 22 2200
ERV15 2 1
AME1 4 5
NGR1 23 1159
MET8 17 48
SDS24 24 365
HPC2 11 46
YBP1 6 6
ATG12 4 9
PYC2 17 800
YBR219C 22 796
YBR220C 17 1258
PDB1 10 583
YBR221W-A 10 83
PCS60 25 591
TDP1 10 432
YBR223W-A 4 44
YBR224W 14 403
YBR225W 26 504
YBR226C 9 292
MCX1 6 18
SLX1 1 0
ROT2 13 40
OM14 5 9
YBR230W-A 14 439
SWC5 5 233
YBR232C 7 98
PBP2 16 422
DAD3 0 0
ARC40 2 1
VHC1 31 506
ABD1 3 3
PRP5 4 3
YBR238C 10 10
ERT1 33 3123
THI2 22 1185
YBR241C 48 2808
YBR242W 6 45
ALG7 1 0
GPX2 7 221
ISW1 20 258
RRT2 12 169
ENP1 0 0
HIS7 27 694
ARO4 14 1129
SPO23 11 214
MRPS5 12 261
DUT1 1 0
SRB6 1 0
TRS20 0 0
MTC4 13 93
YBR255C-A 4 23
RIB5 2 4
POP4 0 0
SHG1 3 2
YBR259W 19 554
RGD1 10 94
TAE1 11 108
MIC12 7 10
SHM1 5 11
YPT10 10 481
TSC10 2 2
REI1 2 1
SLM6 1 0
MRPL37 2 1
SDH8 1 0
BIT2 15 277
EFM2 14 1209
HSM3 5 34
UBX7 10 79
CHK1 7 27
RIF1 36 532
PPS1 14 591
YBR277C 11 753
DPB3 5 51
PAF1 5 43
SAF1 10 217
DUG2 7 12
MRPL27 4 30
SSH1 8 106
YBR284W 23 1128
YBR285W 1 0
APE3 26 1224
YBR287W 34 1342
APM3 19 364
SNF5 6 37
BSD2 4 12
CTP1 25 1538
YBR292C 12 122
VBA2 11 62
SUL1 24 988
PCA1 46 1606
PHO89 32 2244
YBR296C-A 5 17
MAL33 14 299
MAL31 13 107
YBR298C-A 4 110
MAL32 3 2
YBR300C 0 0
PAU24 0 0
COS2 2 1
YCL076W 0 0
GEX1 6 12
VBA3 6 7
YCL068C 2 11
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 4 3
VAC17 6 79
MRC1 7 9
KRR1 1 0
FYV5 4 89
ADF1 1 0
MIC10 11 51
PRD1 22 770
PEX34 2 3
KAR4 9 298
RDT1 0 0
SPB1 3 5
PBN1 6 35
LRE1 20 272
APA1 7 45
YCL049C 7 87
YCL048W-A 4 27
SPS22 15 354
POF1 4 60
EMC1 17 185
YCL046W 1 0
MGR1 25 581
PDI1 15 67
YCL041C 8 13
YCL042W 14 720
GLK1 132 11193
GID7 45 1226
ATG22 17 236
SRO9 5 259
GFD2 48 2233
GRX1 4 22
LSB5 45 2809
MXR2 8 137
STE50 15 198
RRP7 1 0
HIS4 58 1810
BIK1 49 1057
RNQ1 14 519
FUS1 28 993
HBN1 9 17
FRM2 17 307
AGP1 62 1642
YCL023C 16 721
KCC4 64 2620
YCL022C 20 395
YCL021W-A 2 1
LEU2 46 3611
NFS1 15 169
DCC1 18 211
BUD3 110 4982
YCL012C 11 115
GBP2 50 1569
SGF29 52 1433
ILV6 45 826
STP22 40 1288
YCL007C 8 39
VMA9 4 4
LDB16 22 250
PGS1 33 706
YCL002C 46 1667
RER1 19 165
YCL001W-A 8 50
YCL001W-B 9 70
YCR001W 10 383
CDC10 4 3
MRPL32 22 821
YCP4 12 737
CIT2 110 10435
YCR006C 101 2380
YCR007C 31 1106
SAT4 45 622
RVS161 9 81
ADY2 26 1526
ADP1 65 1925
PGK1 5 9
YCR013C 4 8
POL4 47 2163
YCR015C 19 1338
YCR016W 18 280
CWH43 48 2424
SRD1 5 24
YCR018C-A 9 361
MAK32 44 2886
PET18 17 1042
MAK31 4 4
HTL1 0 0
HSP30 19 430
YCR022C 28 2175
YCR023C 34 798
SLM5 18 92
YCR024C-B 8 174
PMP1 1 0
YCR025C 27 735
NPP1 59 1524
RHB1 8 91
FEN2 6 13
RIM1 1 0
SYP1 36 1560
RPS14A 8 104
BPH1 56 1345
SNT1 45 2317
ELO2 5 20
RRP43 2 1
RBK1 15 418
PHO87 32 1986
BUD5 13 152
YCR038W-A 1 0
MATALPHA2 0 0
MATALPHA1 1 0
YCR041W 0 0
TAF2 7 30
YCR043C 7 147
PER1 4 12
RRT12 27 1073
YCR045W-A 10 24
IMG1 7 30
BUD23 5 28
YCR047W-A 0 0
YCR049C 8 84
ARE1 36 1722
YCR050C 10 394
YCR051W 8 56
RSC6 4 59
THR4 6 5
CTR86 5 50
PWP2 6 41
YIH1 10 147
TAH1 1 0
YCR061W 95 7994
YCR064C 20 430
BUD31 5 14
HCM1 25 251
RAD18 10 231
SED4 28 600
ATG15 32 746
CPR4 13 291
IMG2 3 48
RSA4 2 1
SSK22 44 913
SOL2 4 31
ERS1 12 336
YCR075W-A 3 12
FUB1 4 11
PAT1 13 95
PTC6 11 114
SRB8 22 262
YCR081C-A 6 9
AHC2 3 21
TRX3 5 181
TUP1 14 232
YCR085W 7 52
CSM1 6 29
