gene_name number_of_transposon_per_gene number_of_read_per_gene
SEC18 17 143
SPT7 70 653
UBC4 25 347
TEC1 71 886
MIS1 80 997
RPL19A 55 543
AAC3 36 296
YBR085C-A 23 246
IST2 72 441
RFC5 5 10
POL30 4 14
YBR089W 3 13
NHP6B 35 177
YBR090C 83 507
TIM12 1 0
PHO3 57 665
PHO5 58 581
PBY1 86 1118
RXT2 10 24
YBR096W 20 93
VPS15 34 141
MMS4 62 572
YBR099C 9 75
FES1 14 84
EXO84 44 309
SIF2 60 625
YBR103C-A 41 539
YMC2 58 622
VID24 33 430
PHO88 13 105
IML3 20 83
AIM3 109 922
CMD1 0 0
YBR109W-A 24 461
ALG1 2 2
YSA1 34 271
SUS1 12 46
CYC8 27 209
YBR113W 20 52
RAD16 138 1719
LYS2 174 2215
YBR116C 74 875
TKL2 130 1848
TEF2 13 34
MUD1 20 104
CBP6 5 10
GRS1 1 0
YBR121C-A 0 0
MRPL36 15 104
TFC1 30 155
YBR124W 47 429
PTC4 44 404
TPS1 36 206
YBR126W-A 32 371
YBR126W-B 24 131
VMA2 13 141
ATG14 52 622
OPY1 18 82
SHE3 18 59
CCZ1 27 123
YBR131C-A 5 8
AGP2 63 587
HSL7 24 131
YBR134W 50 959
CKS1 8 32
MEC1 62 446
YBR137W 36 216
YBR138C 42 536
YBR139W 54 840
IRA1 85 611
BMT2 37 585
YBR141W-A 7 57
MAK5 34 403
SUP45 3 2
YBR144C 90 2142
ADH5 74 748
MRPS9 25 264
RTC2 37 475
YSW1 101 1001
ARA1 34 416
TBS1 116 1046
APD1 50 526
SPP381 29 241
RIB7 14 31
RPB5 3 10
CNS1 7 15
SLI15 27 374
ICS2 52 465
AMN1 67 671
IFA38 9 39
CDC28 9 59
CSH1 20 89
TOS1 80 1066
YSY6 3 7
EXO5 35 163
ARL1 14 95
UBS1 18 170
TYR1 41 219
POP7 4 16
PEX32 57 427
SSE2 70 460
NPL4 49 398
SEC66 15 296
SMY2 34 182
UMP1 1 0
YBR174C 18 171
SWD3 15 66
ECM31 39 279
EHT1 55 631
YBR178W 46 826
FZO1 35 261
DTR1 58 344
RPS6B 12 53
SMP1 25 307
YBR182C-A 13 83
YPC1 53 421
YBR184W 61 730
MBA1 20 181
PCH2 119 1652
GDT1 42 613
NTC20 32 249
RPS9B 5 12
YBR190W 36 449
RPL21A 22 135
YBR191W-A 1 0
RIM2 2 1
MED8 4 41
AIM4 9 48
MSI1 46 568
PGI1 8 41
YBR196C-A 29 179
YBR196C-B 26 472
YBR197C 88 2173
TAF5 17 103
KTR4 37 443
BEM1 13 65
YBR200W-A 8 35
DER1 34 265
YBR201C-A 10 68
MCM7 30 442
COS111 91 882
LDH1 48 940
KTR3 58 542
YBR206W 17 102
FTH1 86 964
DUR1,2 191 1698
YBR209W 73 1065
ERV15 14 144
AME1 9 54
NGR1 71 727
MET8 75 862
SDS24 117 1568
HPC2 38 376
YBP1 38 358
ATG12 25 213
PYC2 138 1528
YBR219C 89 1142
YBR220C 90 1081
PDB1 24 318
YBR221W-A 38 452
PCS60 78 692
TDP1 75 1039
YBR223W-A 20 409
YBR224W 25 103
YBR225W 89 1233
YBR226C 15 95
MCX1 42 270
SLX1 43 395
ROT2 77 736
OM14 22 94
YBR230W-A 25 158
SWC5 83 1221
YBR232C 11 36
PBP2 33 149
DAD3 4 4
ARC40 11 66
VHC1 116 1483
ABD1 8 65
PRP5 35 256
YBR238C 64 698
ERT1 73 849
THI2 74 1015
YBR241C 144 2306
YBR242W 40 477
ALG7 6 11
GPX2 11 40
ISW1 157 2423
