gene_name number_of_transposon_per_gene number_of_read_per_gene
IST2 12 66
RFC5 6 11
POL30 4 4
YBR089W 4 4
NHP6B 6 136
YBR090C 16 234
TIM12 0 0
PHO3 4 87
PHO5 4 27
PBY1 24 128
RXT2 8 36
YBR096W 2 1
VPS15 12 124
MMS4 23 72
YBR099C 2 1
FES1 3 8
EXO84 23 65
SIF2 2 2
YBR103C-A 3 27
YMC2 6 131
VID24 12 33
PHO88 1 0
IML3 1 0
AIM3 6 114
CMD1 0 0
YBR109W-A 2 1
ALG1 3 4
YSA1 4 4
SUS1 1 0
CYC8 3 3
YBR113W 2 1
RAD16 21 193
LYS2 22 93
YBR116C 6 63
TKL2 17 189
TEF2 1 0
MUD1 6 176
CBP6 2 6
GRS1 0 0
YBR121C-A 0 0
MRPL36 8 30
TFC1 10 46
YBR124W 5 13
PTC4 11 54
TPS1 17 164
YBR126W-A 1 0
YBR126W-B 1 0
VMA2 1 0
ATG14 10 50
OPY1 4 19
SHE3 2 1
CCZ1 13 46
YBR131C-A 2 1
AGP2 13 171
HSL7 32 213
YBR134W 7 243
CKS1 0 0
MEC1 31 132
YBR137W 1 0
YBR138C 10 37
YBR139W 12 54
IRA1 47 1109
BMT2 10 89
YBR141W-A 0 0
MAK5 18 51
SUP45 2 1
YBR144C 13 815
ADH5 5 16
MRPS9 9 36
RTC2 3 3
YSW1 8 19
ARA1 10 58
TBS1 25 82
APD1 3 16
SPP381 8 29
RIB7 2 1
RPB5 0 0
CNS1 0 0
SLI15 10 33
ICS2 5 39
AMN1 5 12
IFA38 7 11
CDC28 3 9
CSH1 3 9
TOS1 8 218
YSY6 0 0
EXO5 13 135
ARL1 5 22
UBS1 2 1
TYR1 7 19
POP7 5 14
PEX32 2 5
SSE2 15 84
NPL4 12 51
SEC66 6 22
SMY2 2 9
UMP1 3 2
YBR174C 5 27
SWD3 5 11
ECM31 2 1
EHT1 13 18
YBR178W 10 121
FZO1 19 71
DTR1 2 3
RPS6B 0 0
SMP1 7 90
YBR182C-A 0 0
YPC1 2 1
YBR184W 6 33
MBA1 2 3
PCH2 25 441
GDT1 5 14
NTC20 5 14
RPS9B 0 0
YBR190W 2 1
RPL21A 0 0
YBR191W-A 0 0
RIM2 0 0
MED8 1 0
AIM4 3 5
MSI1 3 3
PGI1 4 6
YBR196C-A 4 8
YBR196C-B 2 3
YBR197C 9 108
TAF5 11 22
KTR4 9 47
BEM1 5 21
YBR200W-A 0 0
DER1 1 0
YBR201C-A 1 0
MCM7 9 10
COS111 26 163
LDH1 9 20
KTR3 4 45
YBR206W 2 1
FTH1 8 74
DUR1,2 32 224
YBR209W 8 175
ERV15 3 7
AME1 6 12
NGR1 16 45
MET8 24 145
SDS24 21 107
HPC2 12 33
YBP1 20 173
ATG12 4 36
PYC2 34 299
YBR219C 12 55
YBR220C 11 35
PDB1 3 8
YBR221W-A 2 1
PCS60 11 117
TDP1 7 52
YBR223W-A 2 1
YBR224W 3 5
YBR225W 12 164
YBR226C 2 1
MCX1 5 38
SLX1 2 1
ROT2 36 534
OM14 2 2
YBR230W-A 1 0
SWC5 6 9
YBR232C 1 0
PBP2 7 55
DAD3 3 5
ARC40 2 1
VHC1 35 404
ABD1 7 26
PRP5 8 21
YBR238C 6 19
ERT1 12 372
THI2 26 282
YBR241C 32 217
YBR242W 17 256
ALG7 0 0
GPX2 0 0
ISW1 41 792
RRT2 14 38
ENP1 1 0
HIS7 7 10
ARO4 5 94
SPO23 11 147
MRPS5 9 50
DUT1 2 1
SRB6 1 0
TRS20 4 11
MTC4 12 54
YBR255C-A 4 8
RIB5 3 2
POP4 5 9
SHG1 10 81
YBR259W 16 162
RGD1 25 207
TAE1 8 41
MIC12 13 70
SHM1 2 1
YPT10 1 0
TSC10 2 1
REI1 4 11
SLM6 0 0
MRPL37 0 0
SDH8 8 43
BIT2 7 136
EFM2 20 70
HSM3 3 6
UBX7 7 41
CHK1 6 11
RIF1 46 512
PPS1 15 72
YBR277C 3 4
DPB3 5 11
PAF1 2 3
SAF1 7 64
DUG2 14 202
MRPL27 0 0
SSH1 14 38
YBR284W 17 111
YBR285W 0 0
APE3 20 85
YBR287W 12 33
APM3 8 105
SNF5 14 53
BSD2 0 0
CTP1 12 375
YBR292C 6 33
VBA2 11 166
SUL1 21 320
PCA1 56 1059
PHO89 25 296
YBR296C-A 4 103
MAL33 14 179
MAL31 9 45
YBR298C-A 6 32
MAL32 4 8
YBR300C 0 0
PAU24 2 1
COS2 1 0
YCL076W 0 0
GEX1 9 20
VBA3 1 0
YCL068C 0 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 1 0
CHA1 9 19
VAC17 16 79
MRC1 14 98
KRR1 0 0
FYV5 10 58
ADF1 9 41
MIC10 10 92
PRD1 29 329
PEX34 6 45
KAR4 9 79
RDT1 0 0
SPB1 21 67
PBN1 5 25
LRE1 7 25
APA1 11 97
YCL049C 7 8
YCL048W-A 2 1
SPS22 25 678
POF1 5 79
EMC1 24 123
YCL046W 0 0
MGR1 15 326
PDI1 21 186
YCL041C 13 72
YCL042W 12 195
GLK1 42 723
GID7 34 828
ATG22 20 130
SRO9 11 70
GFD2 25 354
GRX1 3 49
LSB5 23 104
MXR2 11 92
STE50 18 82
RRP7 4 4
HIS4 5 5
BIK1 32 316
RNQ1 5 125
FUS1 28 1319
HBN1 4 3
FRM2 17 155
AGP1 45 1118
YCL023C 10 374
KCC4 82 1872
YCL022C 19 710
YCL021W-A 0 0
LEU2 37 1259
NFS1 58 973
DCC1 8 40
BUD3 65 920
YCL012C 5 19
GBP2 27 122
SGF29 45 704
ILV6 22 359
STP22 29 353
YCL007C 5 44
VMA9 8 34
LDB16 10 88
PGS1 13 52
YCL002C 19 262
RER1 19 161
YCL001W-A 7 50
YCL001W-B 4 40
YCR001W 7 275
CDC10 2 4
MRPL32 33 713
YCP4 11 185
CIT2 55 1556
YCR006C 80 2505
YCR007C 19 254
SAT4 51 524
RVS161 4 3
ADY2 16 509
ADP1 49 676
PGK1 2 10
YCR013C 4 24
POL4 32 469
YCR015C 20 65
YCR016W 13 55
CWH43 12 189
SRD1 7 48
YCR018C-A 5 49
MAK32 23 294
PET18 15 834
MAK31 1 0
HTL1 0 0
HSP30 8 225
YCR022C 25 359
YCR023C 30 569
SLM5 19 1523
YCR024C-B 5 46
PMP1 0 0
YCR025C 22 255
NPP1 36 747
RHB1 2 1
FEN2 6 13
RIM1 2 6
SYP1 22 677
RPS14A 1 0
BPH1 44 891
SNT1 25 164
ELO2 9 61
RRP43 7 21
RBK1 9 27
PHO87 21 178
BUD5 2 1
YCR038W-A 0 0
MATALPHA2 1 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 25 187
YCR043C 7 26
PER1 1 0
RRT12 9 97
YCR045W-A 1 0
IMG1 13 96
BUD23 0 0
YCR047W-A 0 0
YCR049C 11 198
ARE1 37 635
YCR050C 2 1
YCR051W 5 6
RSC6 3 3
THR4 13 240
CTR86 8 20
PWP2 10 27
YIH1 13 71
TAH1 4 53
YCR061W 56 2203
YCR064C 26 911
BUD31 5 17
HCM1 29 179
RAD18 5 5
SED4 19 477
ATG15 14 164
CPR4 12 289
IMG2 4 39
RSA4 7 10
SSK22 29 558
SOL2 2 44
ERS1 7 65
YCR075W-A 0 0
FUB1 10 51
PAT1 14 30
PTC6 23 114
SRB8 36 153
YCR081C-A 2 2
AHC2 6 9
TRX3 11 142
