gene_name number_of_transposon_per_gene number_of_read_per_gene
TEC1 13 166
MIS1 34 1090
RPL19A 5 4
AAC3 1 0
YBR085C-A 6 98
IST2 29 295
RFC5 0 0
POL30 0 0
YBR089W 0 0
NHP6B 19 582
YBR090C 40 603
TIM12 0 0
PHO3 13 122
PHO5 5 77
PBY1 23 662
RXT2 8 33
YBR096W 2 2
VPS15 28 528
MMS4 7 19
YBR099C 2 1
FES1 4 7
EXO84 12 90
SIF2 19 419
YBR103C-A 8 101
YMC2 16 243
VID24 28 559
PHO88 9 100
IML3 6 52
AIM3 27 609
CMD1 0 0
YBR109W-A 12 108
ALG1 0 0
YSA1 9 43
SUS1 1 0
CYC8 13 42
YBR113W 7 17
RAD16 29 850
LYS2 34 801
YBR116C 21 326
TKL2 33 907
TEF2 3 2
MUD1 9 164
CBP6 2 1
GRS1 0 0
YBR121C-A 0 0
MRPL36 3 15
TFC1 5 29
YBR124W 15 496
PTC4 16 227
TPS1 6 19
YBR126W-A 11 92
YBR126W-B 12 91
VMA2 1 0
ATG14 10 177
OPY1 3 4
SHE3 5 8
CCZ1 10 46
YBR131C-A 1 0
AGP2 15 398
HSL7 15 177
YBR134W 19 308
CKS1 0 0
MEC1 14 42
YBR137W 1 0
YBR138C 8 43
YBR139W 18 493
IRA1 32 553
BMT2 18 422
YBR141W-A 1 0
MAK5 2 1
SUP45 1 0
YBR144C 27 860
ADH5 16 377
MRPS9 7 33
RTC2 16 375
YSW1 24 526
ARA1 8 81
TBS1 22 394
APD1 11 76
SPP381 10 125
RIB7 2 1
RPB5 0 0
CNS1 1 0
SLI15 6 8
ICS2 7 76
AMN1 10 99
IFA38 3 2
CDC28 0 0
CSH1 11 295
TOS1 10 156
YSY6 1 0
EXO5 15 295
ARL1 8 62
UBS1 4 5
TYR1 17 181
POP7 1 0
PEX32 12 326
SSE2 16 348
NPL4 17 191
SEC66 5 65
SMY2 9 55
UMP1 0 0
YBR174C 6 25
SWD3 7 14
ECM31 10 162
EHT1 11 199
YBR178W 22 312
FZO1 5 23
DTR1 13 209
RPS6B 0 0
SMP1 17 395
YBR182C-A 4 54
YPC1 15 205
YBR184W 17 399
MBA1 4 11
PCH2 28 591
GDT1 10 41
NTC20 5 15
RPS9B 1 0
YBR190W 1 0
RPL21A 0 0
YBR191W-A 0 0
RIM2 1 0
MED8 7 35
AIM4 5 41
MSI1 11 18
PGI1 0 0
YBR196C-A 10 54
YBR196C-B 5 64
YBR197C 29 975
TAF5 1 0
KTR4 11 114
BEM1 6 21
YBR200W-A 4 15
DER1 4 23
YBR201C-A 2 1
MCM7 2 1
COS111 20 227
LDH1 8 107
KTR3 30 881
YBR206W 5 39
FTH1 23 692
DUR1,2 69 1494
YBR209W 16 443
ERV15 0 0
AME1 3 2
NGR1 27 480
MET8 15 366
SDS24 25 443
HPC2 11 150
YBP1 13 130
ATG12 4 11
PYC2 24 705
YBR219C 21 496
YBR220C 23 247
PDB1 11 216
YBR221W-A 15 225
PCS60 19 490
TDP1 16 174
YBR223W-A 6 79
YBR224W 12 84
YBR225W 19 332
YBR226C 1 0
MCX1 9 30
SLX1 3 2
ROT2 26 522
OM14 11 86
YBR230W-A 17 698
SWC5 5 16
YBR232C 6 94
PBP2 16 410
DAD3 0 0
ARC40 3 3
VHC1 40 883
ABD1 5 9
PRP5 4 5
YBR238C 25 263
ERT1 22 264
THI2 30 802
YBR241C 46 715
YBR242W 4 77
ALG7 2 1
GPX2 7 95
ISW1 32 474
RRT2 20 230
ENP1 3 2
HIS7 15 160
ARO4 11 110
SPO23 16 184
MRPS5 5 150
DUT1 2 8
SRB6 3 4
TRS20 1 0
MTC4 27 524
YBR255C-A 11 269
RIB5 2 1
POP4 1 0
SHG1 7 22
YBR259W 25 382
RGD1 10 90
TAE1 10 404
MIC12 11 217
SHM1 22 344
YPT10 11 682
TSC10 5 40
REI1 1 0
SLM6 0 0
MRPL37 1 0
SDH8 5 12
BIT2 21 618
EFM2 20 259
HSM3 17 239
UBX7 18 403
CHK1 4 55
RIF1 34 398
PPS1 13 253
YBR277C 5 23
DPB3 4 9
PAF1 5 15
SAF1 21 248
DUG2 19 289
MRPL27 5 22
SSH1 2 3
