gene_name number_of_transposon_per_gene number_of_read_per_gene
MIS1 47 990
RPL19A 6 34
AAC3 18 405
YBR085C-A 5 51
IST2 49 1316
RFC5 1 0
POL30 3 2
YBR089W 1 0
NHP6B 18 139
YBR090C 41 266
TIM12 2 1
PHO3 29 267
PHO5 23 271
PBY1 24 254
RXT2 9 178
YBR096W 10 32
VPS15 22 226
MMS4 15 444
YBR099C 6 63
FES1 4 5
EXO84 10 76
SIF2 22 88
YBR103C-A 19 386
YMC2 29 452
VID24 12 58
PHO88 15 106
IML3 2 3
AIM3 26 374
CMD1 0 0
YBR109W-A 16 311
ALG1 2 1
YSA1 9 75
SUS1 2 6
CYC8 9 19
YBR113W 6 7
RAD16 45 705
LYS2 49 757
YBR116C 20 183
TKL2 66 1830
TEF2 13 20
MUD1 10 114
CBP6 6 42
GRS1 1 0
YBR121C-A 0 0
MRPL36 1 0
TFC1 4 11
YBR124W 12 63
PTC4 12 106
TPS1 6 29
YBR126W-A 8 46
YBR126W-B 8 55
VMA2 7 45
ATG14 35 421
OPY1 6 93
SHE3 5 10
CCZ1 13 100
YBR131C-A 0 0
AGP2 18 165
HSL7 18 553
YBR134W 19 385
CKS1 3 3
MEC1 26 68
YBR137W 6 20
YBR138C 12 210
YBR139W 36 825
IRA1 61 2367
BMT2 19 493
YBR141W-A 2 1
MAK5 3 2
SUP45 1 0
YBR144C 46 1319
ADH5 16 102
MRPS9 5 41
RTC2 16 150
YSW1 43 579
ARA1 7 39
TBS1 37 690
APD1 15 104
SPP381 5 9
RIB7 0 0
RPB5 2 3
CNS1 1 0
SLI15 12 58
ICS2 9 93
AMN1 23 291
IFA38 0 0
CDC28 0 0
CSH1 10 63
TOS1 20 117
YSY6 2 1
EXO5 17 354
ARL1 2 1
UBS1 14 446
TYR1 15 93
POP7 0 0
PEX32 11 87
SSE2 18 195
NPL4 21 178
SEC66 3 2
SMY2 22 381
UMP1 0 0
YBR174C 8 49
SWD3 5 16
ECM31 16 237
EHT1 12 92
YBR178W 22 110
FZO1 9 41
DTR1 14 105
RPS6B 2 1
SMP1 15 91
YBR182C-A 4 5
YPC1 18 234
YBR184W 20 174
MBA1 4 5
PCH2 35 300
GDT1 7 29
NTC20 3 3
RPS9B 1 0
YBR190W 2 1
RPL21A 2 2
YBR191W-A 1 0
RIM2 4 24
MED8 0 0
AIM4 3 3
MSI1 18 229
PGI1 0 0
YBR196C-A 10 167
YBR196C-B 13 418
YBR197C 33 1695
TAF5 2 1
KTR4 11 71
BEM1 7 99
YBR200W-A 1 0
DER1 6 8
YBR201C-A 1 0
MCM7 12 292
COS111 38 438
LDH1 25 282
KTR3 21 243
YBR206W 7 83
FTH1 18 183
DUR1,2 87 1834
YBR209W 26 581
ERV15 5 57
AME1 5 4
NGR1 27 336
MET8 23 259
SDS24 66 1584
HPC2 8 111
YBP1 17 214
ATG12 2 22
PYC2 53 1343
YBR219C 29 384
YBR220C 35 768
PDB1 10 49
YBR221W-A 18 141
PCS60 28 710
TDP1 36 1387
YBR223W-A 14 417
YBR224W 14 87
YBR225W 59 396
YBR226C 8 31
MCX1 15 70
SLX1 19 639
ROT2 31 164
OM14 13 73
YBR230W-A 18 440
SWC5 12 69
YBR232C 4 17
PBP2 8 51
DAD3 0 0
ARC40 2 1
VHC1 38 420
ABD1 2 1
PRP5 5 5
YBR238C 21 232
ERT1 34 596
THI2 26 495
YBR241C 47 522
YBR242W 8 12
ALG7 1 0
GPX2 4 21
ISW1 40 1043
RRT2 7 85
ENP1 1 0
HIS7 14 86
ARO4 26 395
SPO23 22 481
MRPS5 3 3
DUT1 1 0
SRB6 4 219
TRS20 1 0
MTC4 20 137
YBR255C-A 5 12
RIB5 2 22
POP4 0 0
SHG1 7 18
YBR259W 31 986
RGD1 20 178
TAE1 11 107
MIC12 7 101
SHM1 13 139
YPT10 10 62
TSC10 2 1
REI1 5 5
SLM6 2 1
MRPL37 0 0
SDH8 5 11
BIT2 21 358
EFM2 22 97
HSM3 7 32
UBX7 12 106
CHK1 9 19
RIF1 65 758
PPS1 45 832
YBR277C 12 69
DPB3 7 37
PAF1 11 47
SAF1 19 117
DUG2 30 405
MRPL27 8 15
SSH1 7 8
YBR284W 30 369
YBR285W 0 0
APE3 35 1198
YBR287W 35 452
APM3 19 147
SNF5 18 247
BSD2 16 176
CTP1 47 820
YBR292C 17 110
VBA2 16 139
SUL1 30 154
PCA1 56 1447
PHO89 25 265
YBR296C-A 7 102
MAL33 14 268
MAL31 31 245
YBR298C-A 9 23
MAL32 10 127
YBR300C 1 0
PAU24 4 43
COS2 3 3
YCL076W 4 19
GEX1 7 11
VBA3 2 1
YCL068C 5 80
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 15 100
VAC17 15 136
MRC1 15 179
KRR1 1 0
FYV5 18 351
ADF1 4 12
MIC10 8 151
PRD1 26 184
PEX34 3 3
KAR4 13 109
RDT1 1 0
SPB1 5 4
PBN1 6 45
LRE1 35 1147
APA1 20 147
YCL049C 28 212
YCL048W-A 5 9
SPS22 40 591
POF1 19 91
EMC1 24 329
YCL046W 1 0
MGR1 39 923
PDI1 13 68
YCL041C 12 28
YCL042W 17 101
GLK1 152 6436
GID7 98 2547
ATG22 36 396
SRO9 15 221
GFD2 75 1435
GRX1 13 130
LSB5 42 1213
MXR2 5 26
STE50 30 373
RRP7 9 18
HIS4 153 3668
BIK1 92 1724
RNQ1 30 640
FUS1 60 1139
HBN1 11 69
FRM2 36 1054
AGP1 130 3597
YCL023C 25 1738
KCC4 76 1319
YCL022C 21 311
YCL021W-A 26 423
LEU2 71 1984
NFS1 9 128
DCC1 27 369
BUD3 166 3284
YCL012C 13 75
GBP2 83 808
SGF29 54 742
ILV6 118 2100
STP22 64 957
YCL007C 11 114
VMA9 8 58
LDB16 55 745
PGS1 44 487
YCL002C 62 807
RER1 21 189
YCL001W-A 19 116
YCL001W-B 21 279
YCR001W 24 245
CDC10 4 12
MRPL32 33 586
YCP4 46 1741
CIT2 127 5218
YCR006C 185 5186
YCR007C 46 918
SAT4 68 1688
RVS161 25 194
ADY2 44 640
ADP1 107 2371
PGK1 4 67
YCR013C 4 67
POL4 62 731
YCR015C 30 495
YCR016W 20 505
CWH43 70 2446
SRD1 6 53
YCR018C-A 17 358
MAK32 43 618
PET18 21 515
MAK31 4 7
HTL1 0 0
HSP30 54 780
YCR022C 44 464
YCR023C 67 1392
SLM5 28 361
YCR024C-B 18 222
PMP1 4 5
YCR025C 28 286
NPP1 68 656
RHB1 9 75
FEN2 11 48
RIM1 5 13
SYP1 55 1182
RPS14A 6 61
BPH1 85 1675
SNT1 69 1393
ELO2 12 133
RRP43 1 0
RBK1 25 426
PHO87 38 341
BUD5 7 69
YCR038W-A 1 0
MATALPHA2 2 1
MATALPHA1 0 0
YCR041W 4 9
TAF2 15 298
YCR043C 6 26
PER1 14 97
RRT12 46 593
YCR045W-A 17 71
IMG1 13 200
BUD23 2 1
YCR047W-A 0 0
YCR049C 12 101
ARE1 33 280
YCR050C 3 4
YCR051W 18 201
RSC6 2 1
THR4 15 304
CTR86 13 288
PWP2 16 26
YIH1 25 637
TAH1 9 17
YCR061W 163 3697
YCR064C 33 950
BUD31 5 27
HCM1 26 430
RAD18 6 52
SED4 43 917
ATG15 62 1436
CPR4 20 613
IMG2 11 185
RSA4 2 1
SSK22 73 840
SOL2 22 328
ERS1 11 181
YCR075W-A 2 2
FUB1 12 52
PAT1 19 132
PTC6 15 97
SRB8 49 504
YCR081C-A 12 61
AHC2 5 6
TRX3 8 99
TUP1 13 182
YCR085W 5 37
CSM1 4 14
YCR087W 5 5
YCR087C-A 4 3
ABP1 36 300
FIG2 30 382
YCR090C 11 66
KIN82 35 731
MSH3 50 976
CDC39 29 190
CDC50 11 112
OCA4 2 39
YCR095W-A 4 16
HMRA2 0 0
HMRA1 4 11
YCR097W-A 3 42
GIT1 29 624
YCR099C 13 386
YCR100C 13 52
YCR101C 7 83
YCR102C 13 39
YCR102W-A 0 0
PAU3 7 34
ADH7 40 385
RDS1 30 622
AAD3 33 1030
YCR108C 10 51
COS7 4 6
YDL247W-A 0 0
MPH2 3 2
SOR2 2 1
HXT15 13 60
THI13 13 74
AAD4 19 102
YDL242W 13 80
YDL241W 4 5
YDL240C-A 11 113
LRG1 30 406
ADY3 18 240
GUD1 14 80
AIM6 10 68
PHO13 5 43
YPD1 0 0
GYP7 48 547
MFG1 15 221
OST4 0 0
BRE4 37 338
