gene_name number_of_transposon_per_gene number_of_read_per_gene
RPL19A 2 4
AAC3 16 689
YBR085C-A 2 1
IST2 39 813
RFC5 0 0
POL30 1 0
YBR089W 0 0
NHP6B 5 21
YBR090C 16 91
TIM12 1 0
PHO3 11 27
PHO5 19 255
PBY1 31 473
RXT2 14 804
YBR096W 3 4
VPS15 18 488
MMS4 25 485
YBR099C 12 95
FES1 4 23
EXO84 10 34
SIF2 11 51
YBR103C-A 5 37
YMC2 14 152
VID24 15 176
PHO88 3 5
IML3 6 113
AIM3 42 516
CMD1 0 0
YBR109W-A 10 157
ALG1 1 0
YSA1 7 101
SUS1 3 8
CYC8 11 153
YBR113W 6 56
RAD16 31 383
LYS2 46 750
YBR116C 24 566
TKL2 35 979
TEF2 7 30
MUD1 1 0
CBP6 4 11
GRS1 0 0
YBR121C-A 0 0
MRPL36 4 37
TFC1 3 2
YBR124W 14 127
PTC4 4 16
TPS1 4 18
YBR126W-A 11 108
YBR126W-B 11 122
VMA2 5 79
ATG14 11 218
OPY1 7 24
SHE3 0 0
CCZ1 5 11
YBR131C-A 0 0
AGP2 23 352
HSL7 15 255
YBR134W 14 297
CKS1 4 6
MEC1 12 426
YBR137W 4 27
YBR138C 15 325
YBR139W 12 60
IRA1 56 1037
BMT2 13 268
YBR141W-A 1 0
MAK5 2 1
SUP45 2 1
YBR144C 25 393
ADH5 12 160
MRPS9 3 19
RTC2 13 153
YSW1 21 204
ARA1 7 102
TBS1 32 560
APD1 10 50
SPP381 3 3
RIB7 2 2
RPB5 1 0
CNS1 2 6
SLI15 8 13
ICS2 7 84
AMN1 14 230
IFA38 2 1
CDC28 0 0
CSH1 5 16
TOS1 21 278
YSY6 3 42
EXO5 13 75
ARL1 2 3
UBS1 10 472
TYR1 4 6
POP7 0 0
PEX32 8 209
SSE2 26 492
NPL4 18 227
SEC66 3 4
SMY2 15 165
UMP1 0 0
YBR174C 5 16
SWD3 3 12
ECM31 5 31
EHT1 18 287
YBR178W 26 379
FZO1 11 62
DTR1 8 27
RPS6B 0 0
SMP1 10 196
YBR182C-A 2 2
YPC1 6 13
YBR184W 11 108
MBA1 4 13
PCH2 19 404
GDT1 5 32
NTC20 6 52
RPS9B 3 5
YBR190W 4 5
RPL21A 1 0
YBR191W-A 0 0
RIM2 2 1
MED8 2 17
AIM4 3 39
MSI1 10 80
PGI1 0 0
YBR196C-A 9 30
YBR196C-B 4 22
YBR197C 34 739
TAF5 2 1
KTR4 13 140
BEM1 5 17
YBR200W-A 3 7
DER1 6 21
YBR201C-A 0 0
MCM7 18 407
COS111 20 244
LDH1 9 140
KTR3 17 337
YBR206W 6 36
FTH1 21 588
DUR1,2 58 971
YBR209W 17 206
ERV15 5 43
AME1 0 0
NGR1 24 356
MET8 14 158
SDS24 31 1060
HPC2 12 108
YBP1 17 201
ATG12 7 11
PYC2 47 2421
YBR219C 26 382
YBR220C 13 293
PDB1 12 125
YBR221W-A 16 252
PCS60 38 907
TDP1 26 399
YBR223W-A 5 21
YBR224W 9 76
YBR225W 25 113
YBR226C 1 0
MCX1 10 110
SLX1 8 117
ROT2 26 253
OM14 6 11
YBR230W-A 17 679
SWC5 3 3
YBR232C 2 3
PBP2 4 42
DAD3 0 0
ARC40 3 2
VHC1 30 536
ABD1 1 0
PRP5 6 7
YBR238C 7 110
ERT1 16 309
THI2 19 327
YBR241C 33 543
YBR242W 2 1
ALG7 0 0
GPX2 4 15
ISW1 23 509
RRT2 3 22
ENP1 0 0
HIS7 15 329
ARO4 15 81
SPO23 17 524
MRPS5 4 33
DUT1 1 0
SRB6 1 0
TRS20 1 0
MTC4 14 715
YBR255C-A 3 2
RIB5 0 0
POP4 2 1
SHG1 4 24
YBR259W 24 760
RGD1 16 247
TAE1 3 4
MIC12 2 1
SHM1 11 76
YPT10 4 12
TSC10 5 24
REI1 4 4
SLM6 1 0
MRPL37 1 0
SDH8 8 10
BIT2 12 60
EFM2 9 137
HSM3 6 8
UBX7 11 51
CHK1 8 197
RIF1 32 331
PPS1 20 217
YBR277C 9 60
DPB3 0 0
PAF1 7 62
SAF1 19 614
DUG2 16 139
MRPL27 5 50
SSH1 6 77
YBR284W 31 1355
YBR285W 1 0
APE3 27 549
YBR287W 25 706
APM3 3 7
SNF5 17 225
BSD2 5 62
CTP1 24 476
YBR292C 10 54
VBA2 15 265
SUL1 27 312
PCA1 44 1689
PHO89 26 555
YBR296C-A 4 10
MAL33 8 45
MAL31 22 260
YBR298C-A 14 576
MAL32 0 0
YBR300C 2 1
PAU24 0 0
COS2 2 1
YCL076W 0 0
GEX1 9 12
VBA3 0 0
YCL068C 7 141
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 1 0
CHA1 14 267
VAC17 14 224
MRC1 13 70
KRR1 2 2
FYV5 10 387
ADF1 2 1
MIC10 8 200
PRD1 35 424
PEX34 4 8
KAR4 11 82
RDT1 0 0
SPB1 6 6
PBN1 9 180
LRE1 34 1677
APA1 13 115
YCL049C 19 233
YCL048W-A 1 0
SPS22 18 149
POF1 14 196
EMC1 32 633
YCL046W 2 1
MGR1 33 571
PDI1 12 160
YCL041C 12 20
YCL042W 11 47
GLK1 141 5166
GID7 86 2573
ATG22 27 469
SRO9 12 267
GFD2 55 1536
GRX1 7 67
LSB5 31 525
MXR2 10 36
STE50 19 146
RRP7 2 1
HIS4 118 3397
BIK1 71 1281
RNQ1 18 192
FUS1 27 435
HBN1 8 152
FRM2 19 379
AGP1 100 3018
YCL023C 22 996
KCC4 78 1633
YCL022C 19 303
YCL021W-A 13 264
LEU2 47 653
NFS1 1 0
DCC1 16 382
BUD3 156 4714
YCL012C 8 42
GBP2 78 1898
SGF29 59 1406
ILV6 102 2079
STP22 61 1354
YCL007C 10 44
VMA9 5 5
LDB16 39 1345
PGS1 20 427
YCL002C 42 625
RER1 29 222
YCL001W-A 2 1
YCL001W-B 9 183
YCR001W 18 238
CDC10 1 0
MRPL32 33 878
YCP4 31 618
CIT2 123 6919
YCR006C 151 3431
YCR007C 49 670
SAT4 58 2201
RVS161 12 198
ADY2 33 529
ADP1 97 2311
PGK1 4 12
YCR013C 4 12
POL4 44 1074
YCR015C 21 328
YCR016W 12 75
CWH43 52 2637
SRD1 10 122
YCR018C-A 15 1491
