gene_name number_of_transposon_per_gene number_of_read_per_gene
TEC1 18 660
MIS1 20 926
RPL19A 7 200
AAC3 6 24
YBR085C-A 5 7
IST2 25 880
RFC5 1 0
POL30 0 0
YBR089W 0 0
NHP6B 15 288
YBR090C 18 318
TIM12 0 0
PHO3 8 42
PHO5 12 29
PBY1 17 1102
RXT2 4 85
YBR096W 3 9
VPS15 9 74
MMS4 1 0
YBR099C 1 0
FES1 2 1
EXO84 3 6
SIF2 4 5
YBR103C-A 8 183
YMC2 7 153
VID24 7 92
PHO88 3 122
IML3 4 88
AIM3 26 1187
CMD1 0 0
YBR109W-A 9 72
ALG1 1 0
YSA1 15 395
SUS1 2 1
CYC8 10 29
YBR113W 10 91
RAD16 18 219
LYS2 32 568
YBR116C 17 524
TKL2 51 1903
TEF2 10 80
MUD1 7 29
CBP6 0 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 0 0
TFC1 5 61
YBR124W 9 440
PTC4 8 24
TPS1 3 5
YBR126W-A 6 8
YBR126W-B 4 4
VMA2 6 27
ATG14 7 129
OPY1 5 12
SHE3 4 24
CCZ1 6 37
YBR131C-A 0 0
AGP2 15 68
HSL7 6 32
YBR134W 6 47
CKS1 0 0
MEC1 18 108
YBR137W 1 0
YBR138C 5 131
YBR139W 14 190
IRA1 34 215
BMT2 16 937
YBR141W-A 3 2
MAK5 6 5
SUP45 0 0
YBR144C 10 84
ADH5 11 86
MRPS9 3 3
RTC2 18 1728
YSW1 6 9
ARA1 2 3
TBS1 20 350
APD1 9 62
SPP381 5 10
RIB7 1 0
RPB5 0 0
CNS1 1 0
SLI15 2 1
ICS2 5 8
AMN1 4 53
IFA38 0 0
CDC28 1 0
CSH1 3 33
TOS1 19 2059
YSY6 0 0
EXO5 10 24
ARL1 2 1
UBS1 5 60
TYR1 4 32
POP7 1 0
PEX32 6 57
SSE2 18 245
NPL4 16 315
SEC66 1 0
SMY2 10 218
UMP1 0 0
YBR174C 3 2
SWD3 0 0
ECM31 4 5
EHT1 12 609
YBR178W 7 28
FZO1 10 43
DTR1 13 350
RPS6B 1 0
SMP1 6 31
YBR182C-A 0 0
YPC1 6 91
YBR184W 10 417
MBA1 3 24
PCH2 16 586
GDT1 3 3
NTC20 4 6
RPS9B 0 0
YBR190W 4 9
RPL21A 1 0
YBR191W-A 1 0
RIM2 3 10
MED8 1 0
AIM4 3 5
MSI1 9 128
PGI1 2 1
YBR196C-A 5 140
YBR196C-B 7 284
YBR197C 28 1861
TAF5 0 0
KTR4 6 18
BEM1 4 24
YBR200W-A 0 0
DER1 8 888
YBR201C-A 2 1
MCM7 13 548
COS111 19 1469
LDH1 10 178
KTR3 7 93
YBR206W 5 87
FTH1 10 204
DUR1,2 52 3127
YBR209W 17 1490
ERV15 0 0
AME1 7 6
NGR1 20 1718
MET8 9 159
SDS24 28 557
HPC2 5 5
YBP1 4 16
ATG12 0 0
PYC2 24 1242
YBR219C 12 381
YBR220C 15 1239
PDB1 8 279
YBR221W-A 12 223
PCS60 14 300
