gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR085C-A 2 2
IST2 11 45
RFC5 1 0
POL30 2 1
YBR089W 2 1
NHP6B 4 4
YBR090C 11 113
TIM12 0 0
PHO3 8 19
PHO5 7 31
PBY1 6 43
RXT2 0 0
YBR096W 4 74
VPS15 9 33
MMS4 4 7
YBR099C 0 0
FES1 3 3
EXO84 2 5
SIF2 11 155
YBR103C-A 5 216
YMC2 2 1
VID24 4 8
PHO88 2 48
IML3 2 1
AIM3 7 18
CMD1 0 0
YBR109W-A 6 52
ALG1 1 0
YSA1 3 8
SUS1 3 2
CYC8 4 5
YBR113W 1 0
RAD16 11 23
LYS2 20 73
YBR116C 8 43
TKL2 20 241
TEF2 1 0
MUD1 2 1
CBP6 1 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 1
TFC1 4 6
YBR124W 7 26
PTC4 12 54
TPS1 4 4
YBR126W-A 3 14
YBR126W-B 3 3
VMA2 4 4
ATG14 12 95
OPY1 4 3
SHE3 2 1
CCZ1 6 17
YBR131C-A 0 0
AGP2 7 35
HSL7 6 11
YBR134W 7 47
CKS1 0 0
MEC1 13 25
YBR137W 4 24
YBR138C 7 226
YBR139W 12 147
IRA1 23 203
BMT2 11 542
YBR141W-A 1 0
MAK5 4 4
SUP45 3 2
YBR144C 8 37
ADH5 10 234
MRPS9 9 88
RTC2 9 38
YSW1 12 455
ARA1 2 13
TBS1 20 631
APD1 8 17
SPP381 5 81
RIB7 0 0
RPB5 1 0
CNS1 1 0
SLI15 4 3
ICS2 5 76
AMN1 6 16
IFA38 2 1
CDC28 0 0
CSH1 2 17
TOS1 7 109
YSY6 0 0
EXO5 6 8
ARL1 0 0
UBS1 7 9
TYR1 4 96
POP7 1 0
PEX32 2 1
SSE2 10 22
NPL4 6 6
SEC66 1 0
SMY2 4 21
UMP1 0 0
YBR174C 2 1
SWD3 4 152
ECM31 11 28
EHT1 5 19
YBR178W 9 29
FZO1 4 4
DTR1 6 13
RPS6B 0 0
SMP1 4 9
YBR182C-A 3 42
YPC1 2 1
YBR184W 8 51
MBA1 2 1
PCH2 15 136
GDT1 4 9
NTC20 1 0
RPS9B 0 0
YBR190W 2 1
RPL21A 2 1
YBR191W-A 0 0
RIM2 1 0
MED8 2 1
AIM4 1 0
MSI1 7 53
PGI1 1 0
YBR196C-A 4 24
YBR196C-B 3 5
YBR197C 21 1308
TAF5 1 0
KTR4 6 103
BEM1 2 1
YBR200W-A 1 0
DER1 1 0
YBR201C-A 1 0
MCM7 8 48
COS111 11 251
LDH1 11 121
KTR3 7 104
YBR206W 1 0
FTH1 3 26
DUR1,2 23 366
YBR209W 9 91
ERV15 3 13
AME1 2 1
NGR1 12 46
MET8 8 181
SDS24 16 117
HPC2 1 0
YBP1 1 0
ATG12 3 3
PYC2 9 20
YBR219C 10 281
YBR220C 13 86
PDB1 0 0
YBR221W-A 6 65
PCS60 9 75
TDP1 9 703
YBR223W-A 0 0
YBR224W 6 36
YBR225W 10 55
YBR226C 0 0
MCX1 4 4
SLX1 5 19
ROT2 20 64
OM14 4 9
YBR230W-A 1 0
SWC5 2 3
YBR232C 4 7
PBP2 7 16
DAD3 0 0
ARC40 4 3
VHC1 15 81
ABD1 3 3
PRP5 1 0
YBR238C 13 314
ERT1 12 93
THI2 9 103
YBR241C 20 1194
YBR242W 5 5
ALG7 0 0
GPX2 4 13
ISW1 14 115
RRT2 10 82
ENP1 0 0
HIS7 9 140
ARO4 3 43
SPO23 3 4
MRPS5 2 1
DUT1 0 0
SRB6 1 0
TRS20 1 0
MTC4 8 274
YBR255C-A 1 0
RIB5 3 2
POP4 0 0
SHG1 6 355
YBR259W 10 485
RGD1 9 71
TAE1 9 100
MIC12 1 0
SHM1 4 8
YPT10 3 15
TSC10 1 0
REI1 6 6
SLM6 1 0
MRPL37 1 0
SDH8 3 3
BIT2 9 123
EFM2 16 52
HSM3 8 27
UBX7 3 2
CHK1 2 1
RIF1 28 298
PPS1 15 32
YBR277C 8 128
DPB3 4 34
PAF1 6 27
SAF1 21 437
DUG2 8 118
MRPL27 0 0
SSH1 1 0
YBR284W 13 370
YBR285W 1 0
APE3 23 3237
YBR287W 8 74
APM3 4 25
SNF5 5 6
BSD2 6 164
CTP1 14 1347
YBR292C 4 22
VBA2 10 39
SUL1 13 364
PCA1 29 1946
PHO89 17 647
YBR296C-A 3 3
MAL33 7 881
MAL31 9 153
YBR298C-A 2 1
MAL32 2 2
YBR300C 2 1
PAU24 2 2
COS2 0 0
YCL076W 2 1
GEX1 4 4
VBA3 1 0
YCL068C 1 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 2 1
CHA1 4 3
VAC17 9 670
MRC1 5 83
KRR1 3 2
FYV5 4 28
ADF1 1 0
MIC10 2 1
PRD1 15 80
PEX34 0 0
KAR4 2 1
RDT1 1 0
SPB1 5 6
PBN1 3 3
LRE1 9 441
APA1 7 28
YCL049C 1 0
YCL048W-A 1 0
SPS22 14 310
POF1 4 104
EMC1 13 16
