gene_name number_of_transposon_per_gene number_of_read_per_gene
IST2 16 68
RFC5 0 0
POL30 0 0
YBR089W 0 0
NHP6B 19 130
YBR090C 36 221
TIM12 0 0
PHO3 8 38
PHO5 6 47
PBY1 17 138
RXT2 3 5
YBR096W 5 18
VPS15 6 19
MMS4 8 126
YBR099C 0 0
FES1 1 0
EXO84 6 12
SIF2 4 34
YBR103C-A 8 77
YMC2 14 95
VID24 9 58
PHO88 5 47
IML3 0 0
AIM3 27 226
CMD1 0 0
YBR109W-A 7 55
ALG1 0 0
YSA1 1 0
SUS1 2 1
CYC8 5 25
YBR113W 1 0
RAD16 7 53
LYS2 16 214
YBR116C 15 86
TKL2 21 132
TEF2 1 0
MUD1 7 45
CBP6 5 19
GRS1 0 0
YBR121C-A 0 0
MRPL36 0 0
TFC1 3 4
YBR124W 11 251
PTC4 5 14
TPS1 1 0
YBR126W-A 3 7
YBR126W-B 1 0
VMA2 2 1
ATG14 12 150
OPY1 10 65
SHE3 2 2
CCZ1 2 6
YBR131C-A 0 0
AGP2 6 57
HSL7 2 5
YBR134W 7 35
CKS1 1 0
MEC1 7 48
YBR137W 6 13
YBR138C 7 19
YBR139W 13 126
IRA1 18 720
BMT2 8 52
YBR141W-A 0 0
MAK5 0 0
SUP45 0 0
YBR144C 11 51
ADH5 5 15
MRPS9 3 9
RTC2 7 29
YSW1 19 153
ARA1 8 34
TBS1 12 105
APD1 7 28
SPP381 3 3
RIB7 4 9
RPB5 0 0
CNS1 1 0
SLI15 0 0
ICS2 12 51
AMN1 7 36
IFA38 0 0
CDC28 0 0
CSH1 9 75
TOS1 7 53
YSY6 1 0
EXO5 8 27
ARL1 3 5
UBS1 3 2
TYR1 8 22
POP7 0 0
PEX32 3 17
SSE2 7 135
NPL4 2 1
SEC66 2 1
SMY2 8 57
UMP1 0 0
YBR174C 3 16
SWD3 8 50
ECM31 7 16
EHT1 12 98
YBR178W 11 99
FZO1 13 134
DTR1 9 56
RPS6B 2 1
SMP1 4 38
YBR182C-A 4 13
YPC1 5 31
YBR184W 9 67
MBA1 4 12
PCH2 23 278
GDT1 3 14
NTC20 7 38
RPS9B 2 3
YBR190W 6 7
RPL21A 0 0
YBR191W-A 1 0
RIM2 2 5
MED8 1 0
AIM4 3 19
MSI1 10 48
PGI1 0 0
YBR196C-A 8 25
YBR196C-B 6 45
YBR197C 14 112
TAF5 1 0
KTR4 8 89
BEM1 5 25
YBR200W-A 2 1
DER1 2 2
YBR201C-A 0 0
MCM7 9 71
COS111 19 260
LDH1 5 20
KTR3 10 79
YBR206W 5 22
FTH1 7 29
DUR1,2 26 383
YBR209W 15 127
ERV15 4 7
AME1 1 0
NGR1 9 65
MET8 8 58
SDS24 16 172
HPC2 2 7
YBP1 6 22
ATG12 1 0
PYC2 10 140
YBR219C 21 227
YBR220C 10 112
PDB1 4 8
YBR221W-A 13 146
PCS60 13 111
TDP1 21 147
YBR223W-A 6 25
YBR224W 14 24
YBR225W 11 58
YBR226C 0 0
MCX1 6 23
SLX1 10 82
ROT2 12 73
OM14 0 0
YBR230W-A 7 22
SWC5 8 32
YBR232C 2 1
PBP2 5 22
DAD3 0 0
ARC40 0 0
VHC1 15 282
ABD1 3 39
PRP5 1 0
YBR238C 9 44
ERT1 9 88
THI2 6 36
YBR241C 24 469
YBR242W 3 8
ALG7 0 0
GPX2 4 6
ISW1 22 230
RRT2 6 38
ENP1 0 0
HIS7 7 39
ARO4 1 0
SPO23 14 58
MRPS5 5 27
DUT1 1 0
SRB6 3 4
TRS20 0 0
MTC4 4 3
YBR255C-A 4 5
RIB5 1 0
POP4 1 0
SHG1 4 14
YBR259W 7 31
RGD1 9 71
TAE1 8 182
MIC12 2 21
SHM1 10 80
YPT10 5 16
TSC10 2 1
REI1 7 29
SLM6 2 1
MRPL37 1 0
SDH8 1 0
BIT2 9 46
EFM2 6 70
HSM3 2 3
UBX7 7 68
CHK1 2 2
RIF1 28 312
PPS1 10 106
YBR277C 4 4
DPB3 4 15
PAF1 2 4
SAF1 9 42
DUG2 11 51
MRPL27 4 20
SSH1 3 5
YBR284W 28 459
YBR285W 3 10
APE3 10 221
YBR287W 10 153
APM3 9 45
SNF5 12 64
BSD2 6 25
CTP1 28 400
YBR292C 6 12
VBA2 10 134
SUL1 19 182
PCA1 17 279
PHO89 19 349
YBR296C-A 2 8
MAL33 4 86
MAL31 14 113
YBR298C-A 10 73
MAL32 4 55
YBR300C 2 1
PAU24 2 42
COS2 1 0
YCL076W 1 0
GEX1 1 0
VBA3 4 21
YCL068C 3 9
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 4 32
VAC17 10 60
MRC1 10 53
KRR1 0 0
FYV5 2 1
ADF1 1 0
MIC10 6 24
PRD1 16 208
PEX34 3 15
KAR4 5 73
RDT1 0 0
SPB1 9 46
PBN1 3 3
LRE1 15 153
APA1 13 96
YCL049C 10 84
YCL048W-A 3 2
SPS22 20 554
POF1 2 1
EMC1 14 87
YCL046W 2 1
MGR1 17 68
PDI1 4 6
YCL041C 20 72
YCL042W 21 663
GLK1 43 890
GID7 36 463
ATG22 25 543
SRO9 22 719
GFD2 44 752
GRX1 5 29
LSB5 17 229
MXR2 9 22
STE50 18 1912
RRP7 3 2
HIS4 28 686
BIK1 32 336
RNQ1 25 297
FUS1 31 498
HBN1 3 7
FRM2 14 105
AGP1 47 1180
YCL023C 14 103
KCC4 54 1096
YCL022C 12 113
YCL021W-A 17 182
LEU2 21 306
NFS1 2 2
DCC1 17 106
BUD3 100 1584
YCL012C 9 17
GBP2 43 437
SGF29 35 556
ILV6 34 411
STP22 38 674
YCL007C 7 59
VMA9 4 5
LDB16 30 218
PGS1 31 221
YCL002C 44 706
RER1 17 48
YCL001W-A 7 33
YCL001W-B 5 7
YCR001W 19 102
CDC10 0 0
MRPL32 25 263
YCP4 19 156
CIT2 56 1967
YCR006C 140 2518
YCR007C 26 335
SAT4 20 161
RVS161 13 231
ADY2 26 319
ADP1 63 1915
PGK1 2 8
YCR013C 2 8
POL4 28 305
YCR015C 23 580
YCR016W 3 9
CWH43 31 174
SRD1 10 76
YCR018C-A 15 241
MAK32 48 728
PET18 18 576
MAK31 5 58
HTL1 7 28
HSP30 33 691
YCR022C 40 1014
YCR023C 66 1461
SLM5 26 379
YCR024C-B 7 23
PMP1 2 2
YCR025C 42 1120
NPP1 84 1255
RHB1 13 154
FEN2 3 7
RIM1 6 62
SYP1 29 610
RPS14A 7 40
BPH1 17 83
SNT1 21 321
ELO2 8 32
RRP43 1 0
RBK1 11 66
PHO87 17 227
BUD5 5 35
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 0 0
TAF2 5 13
YCR043C 5 372
PER1 0 0
RRT12 14 157
YCR045W-A 3 3
IMG1 12 84
BUD23 5 22
YCR047W-A 0 0
YCR049C 7 39
ARE1 29 557
YCR050C 3 11
YCR051W 9 294
RSC6 1 0
THR4 0 0
CTR86 3 20
PWP2 1 0
YIH1 14 256
TAH1 3 10
YCR061W 81 1320
YCR064C 20 237
BUD31 9 79
HCM1 21 141
RAD18 4 8
SED4 23 278
ATG15 28 294
CPR4 8 99
IMG2 7 53
RSA4 0 0
SSK22 28 818
SOL2 8 58
ERS1 10 216
YCR075W-A 3 74
FUB1 4 17
PAT1 6 47
PTC6 18 445
SRB8 24 264
YCR081C-A 3 44
AHC2 3 28
TRX3 5 24
TUP1 2 1
YCR085W 5 10
CSM1 9 137
YCR087W 4 12
YCR087C-A 4 12
ABP1 17 208
FIG2 17 398
YCR090C 2 8
KIN82 14 145
MSH3 13 74
CDC39 10 58
CDC50 2 3
OCA4 2 1
YCR095W-A 0 0
HMRA2 0 0
HMRA1 0 0
YCR097W-A 0 0
GIT1 19 151
YCR099C 3 13
YCR100C 10 411
YCR101C 4 36
YCR102C 14 626
YCR102W-A 1 0
PAU3 1 0
ADH7 17 254
RDS1 19 108
AAD3 9 25
YCR108C 6 60
COS7 3 4
YDL247W-A 1 0
MPH2 1 0
SOR2 3 2
HXT15 5 41
THI13 4 3
AAD4 6 32
YDL242W 4 51
YDL241W 3 7
YDL240C-A 14 137
LRG1 10 45
ADY3 3 16
GUD1 3 20
AIM6 7 15
PHO13 4 16
YPD1 0 0
GYP7 15 128
MFG1 10 127
OST4 0 0
BRE4 13 62
PTP1 6 20
SSB1 6 26
YDL228C 2 4
HO 27 300
GCS1 5 27
SHS1 5 26
WHI4 4 67
HBT1 33 486
FMP45 14 50
YDL221W 18 203
CDC13 16 264
DTD1 3 10
YDL218W 3 6
TIM22 1 0
RRI1 4 16
GDH2 15 217
PRR2 10 218
NOP6 5 17
SHR3 0 0
YDL211C 12 100
UGA4 13 73
CWC2 1 0
NHP2 1 0
GLE1 1 0
YDL206W 9 33
HEM3 2 1
RTN2 11 144
ACK1 10 44
MRPL11 1 0
TRM8 3 11
MGT1 4 26
YDL199C 9 33
GGC1 1 0
ASF2 6 92
YDL196W 18 127
SEC31 1 0
SNF3 10 25
NUS1 0 0
ARF1 1 0
RPL35A 0 0
UFD2 7 54
RBS1 10 151
PPH22 4 7
YDL187C 3 4
YDL186W 5 23
YDL185C-A 2 2
VMA1 1 0
RPL41A 0 0
YDL183C 9 90
LYS20 10 104
INH1 4 10
YDL180W 4 10
PCL9 3 3
DLD2 13 164
YDL177C 4 5
YDL176W 7 124
AIR2 9 121
DLD1 21 871
PAR32 5 32
YDL172C 0 0
GLT1 43 928
UGA3 7 35
UGX2 8 66
SFA1 13 114
NRP1 9 63
FAP7 1 0
CDC36 0 0
CDC9 2 3
YDL163W 2 3
YDL162C 10 30
ENT1 2 4
MHF2 0 0
DHH1 4 10
YDL159W-A 3 6
STE7 2 2
YDL159C-B 0 0
YDL158C 2 3
YDL157C 5 9
CMR1 19 139
CLB3 0 0
MSH5 13 135
SAS10 2 2
YDL152W 12 49
BUD30 0 0
RPC53 1 0
ATG9 7 78
NOP14 5 58
RPN5 0 0
LDB17 2 2
COP1 0 0
YDL144C 7 46
CCT4 1 0
CRD1 14 128
BPL1 6 38
RPO21 0 0
SCM3 1 0
RGT2 21 279
ARF2 5 21
RPL35B 4 11
RDI1 6 32
PPH21 7 32
RPL41B 0 0
SRF1 2 4
CDC53 2 1
LYS21 10 45
STF1 1 0
RPP1B 5 12
YDL129W 15 118
VCX1 8 28
PCL2 17 180
CDC48 2 6
HNT1 3 4
YDL124W 9 27
SNA4 6 140
UBP1 4 5
YDL121C 7 36
YFH1 2 8
YDL119C 3 20
YDL118W 1 0
CYK3 15 123
NUP84 3 5
IWR1 9 74
YDL114W-A 0 0
YDL114W 8 38
ATG20 8 33
TRM3 13 292
RRP42 1 0
TMA17 6 25
YDL109C 9 123
KIN28 0 0
MSS2 8 37
PHO2 6 9
NSE4 0 0
QRI7 8 132
QRI1 0 0
POL3 3 11
DUN1 10 35
GET3 4 40
BUG1 4 21
SNU23 0 0
RPN6 0 0
OPI6 4 3
PMT1 9 170
YDL094C 10 129
PMT5 15 125
SRP14 4 22
UBX3 6 133
RAM1 0 0
NUR1 7 18
ASM4 10 47
LUC7 0 0
YDL086W 19 373
YDL086C-A 13 195
YDL085C-A 4 6
NDE2 17 377
SUB2 0 0
RPS16B 3 6
RPL13A 1 0
RPP1A 3 14
THI3 7 39
MRK1 12 68
MDH3 9 51
VAM6 6 25
RXT3 2 2
RPL31A 0 0
BRE1 2 1
YDL073W 20 247
YET3 5 15
YDL071C 12 56
BDF2 8 36
CBS1 7 38
YDL068W 6 36
COX9 0 0
IDP1 14 121
PEX19 4 16
UBC9 0 0
SYO1 6 172
YDL062W 2 2
RPS29B 4 24
TSR1 1 0
RAD59 6 55
USO1 10 138
YDL057W 9 43
MBP1 10 38
PSA1 1 0
MCH1 27 284
PBP4 9 56
SLC1 10 120
LHP1 14 115
YDL050C 10 53
KNH1 22 630
STP4 23 419
SIT4 2 2
NPC2 5 10
MRP10 3 22
FAD1 2 1
MTF2 7 43
PRP11 0 0
SIR2 21 511
YDL041W 8 54
NAT1 15 65
PRM7 15 110
BSC1 4 14
PUS9 9 117
GPR1 15 123
YDL034W 0 0
SLM3 46 482
YDL032W 9 59
DBP10 2 2
PRP9 3 3
ARP2 0 0
MPS1 4 18
YDL027C 6 26
YDL026W 2 7
RTK1 13 93
YDL025W-A 1 0
DIA3 18 209
YDL022C-A 5 28
YDL023C 5 44
GPD1 29 352
GPM2 19 172
RPN4 21 571
OSH2 50 1484
ERP3 8 48
CDC7 3 10
YDL016C 4 11
TSC13 0 0
NOP1 2 1
SLX5 20 68
YDL012C 21 220
YDL011C 3 7
GRX6 12 71
YDL009C 4 11
APC11 2 20
YDL007C-A 2 19
RPT2 0 0
PTC1 3 2
MED2 17 91
ATP16 10 113
MCD1 4 20
NHP10 12 83
RMD1 44 507
NTH1 57 874
YRB1 0 0
RCR2 32 418
YDR003W-A 9 29
RAD57 34 237
MAF1 23 313
SOK1 43 586
TRP1 51 556
YDR008C 44 537
GAL3 47 835
YDR010C 56 2122
SNQ2 72 1621
RPL4B 4 59
PSF1 0 0
RAD61 19 130
HED1 7 78
YDR015C 4 20
DAD1 0 0
KCS1 15 99
YDR018C 39 311
GCV1 31 671
DAS2 19 350
FAL1 2 1
ATG31 4 48
SES1 3 7
FYV1 23 234
RPS11A 2 2
NSI1 9 91
VPS54 7 41
REG1 11 110
YDR029W 2 3
RAD28 17 223
MIX14 4 9
PST2 13 154
MRH1 11 25
LYS14 21 442
YDR034C-A 3 24
YDR034W-B 3 9
ARO3 6 22
EHD3 19 340
KRS1 0 0
ENA5 11 15
ENA2 8 9
ENA1 10 35
RSM10 5 49
YDR042C 2 1
NRG1 12 126
HEM13 0 0
RPC11 0 0
BAP3 16 329
HEM12 5 15
YDR048C 16 93
VMS1 13 86
TPI1 0 0
DET1 10 130
DBF4 0 0
YDR053W 0 0
CDC34 1 0
PST1 10 91
YDR056C 7 58
YOS9 18 169
TGL2 8 56
UBC5 4 48
MAK21 6 7
YDR061W 20 94
LCB2 1 0
AIM7 2 1
RPS13 0 0
RRG1 2 3
RTR2 9 55
OCA6 3 20
DOS2 2 8
DOA4 7 25
FMP16 1 0
PAA1 3 5
IPT1 23 216
SNF11 0 0
TPS2 21 309
PPH3 2 2
RAD55 12 200
SED1 7 19
SHU2 9 69
PET100 5 79
TFB5 0 0
VPS41 5 10
PDC2 2 1
STN1 4 6
RRP8 5 9
TVP23 7 25
AFR1 9 44
SSS1 1 0
RRP1 0 0
SLU7 3 12
YDR089W 17 153
YDR090C 6 62
RLI1 0 0
UBC13 6 86
DNF2 56 1551
YDR094W 30 481
YDR095C 17 228
GIS1 17 82
MSH6 14 215
GRX3 3 8
BMH2 19 108
TVP15 9 54
ARX1 9 36
YDR102C 8 57
STE5 8 139
SPO71 5 6
TMS1 15 237
ARP10 10 61
TMN2 11 136
TRS85 12 131
YDR109C 3 31
FOB1 15 195
ALT2 10 135
IRC2 1 0
PDS1 2 7
YDR114C 4 7
YDR115W 3 4
MRPL1 3 7
TMA64 0 0
APC4 2 1
YDR118W-A 1 0
VBA4 15 87
COX26 3 10
TRM1 13 96
DPB4 1 0
KIN1 17 162
INO2 1 0
YDR124W 8 65
ECM18 6 52
SWF1 12 73
ARO1 15 132
MTC5 21 196
SAC6 9 64
FIN1 4 57
YDR131C 12 108
YDR132C 8 60
YDR133C 2 1
YCF1 15 686
VPS61 12 109
RGP1 1 0
HPR1 6 39
RUB1 3 2
MTQ2 3 14
DOP1 1 0
PEX7 9 194
SAN1 9 88
MKC7 5 48
TAF12 2 1
SWI5 5 30
EKI1 7 116
KGD2 8 25
YDR149C 1 0
NUM1 13 89
CTH1 4 7
GIR2 7 60
ENT5 3 10
YDR154C 2 1
CPR1 1 0
RPA14 9 53
YDR157W 17 419
HOM2 2 1
SAC3 6 14
SSY1 0 0
YDR161W 2 2
NBP2 3 4
CWC15 7 27
SEC1 0 0
TRM82 10 30
SEC5 7 61
TAF10 1 0
CDC37 1 0
STB3 3 7
YDR169C-A 0 0
SEC7 5 16
HSP42 3 4
SUP35 5 4
ARG82 1 0
HMO1 7 84
RSM24 4 18
NGG1 5 17
UBC1 0 0
SDH4 2 2
CSN9 1 0
YDR179W-A 3 7
SCC2 0 0
SAS4 4 9
CDC1 1 0
YDR182W-A 1 0
PLP1 6 39
YDR183C-A 2 7
ATC1 4 83
UPS3 3 7
YDR186C 13 40
YDR187C 6 41
CCT6 1 0
SLY1 1 0
RVB1 1 0
HST4 2 4
NUP42 10 29
YDR193W 5 8
MSS116 4 6
YDR194W-A 1 0
REF2 8 64
CAB5 0 0
CBS2 9 101
RKM2 8 79
YDR199W 2 1
VPS64 3 3
SPC19 0 0
RAV2 0 0
YDR203W 0 0
COQ4 9 64
MSC2 4 17
EBS1 8 124
UME6 12 43
MSS4 5 33
YDR209C 2 2
YDR210W 2 2
GCD6 0 0
TCP1 1 0
UPC2 16 251
AHA1 7 26
YDR215C 14 292
ADR1 4 12
RAD9 17 168
SPR28 5 13
MFB1 3 6
YDR220C 2 4
GTB1 7 10
YDR222W 5 6
CRF1 10 213
HTB1 0 0
HTA1 1 0
ADK1 0 0
SIR4 10 77
PCF11 0 0
IVY1 14 134
YDR230W 2 1
COX20 1 0
HEM1 1 0
RTN1 4 9
LYS4 13 136
PRP42 1 0
FMN1 2 1
MRPL7 4 10
SEC26 1 0
YDR239C 10 60
SNU56 2 1
BUD26 7 25
AMD2 11 61
PRP28 0 0
PEX5 10 139
MNN10 4 50
TRS23 2 2
YDR246W-A 14 225
VHS1 13 196
YDR248C 6 112
YDR249C 9 127
YDR250C 7 121
PAM1 9 61
BTT1 2 7
MET32 2 1
CHL4 3 3
RMD5 6 32
CTA1 17 123
RKM4 3 11
HSP78 12 143
YAP6 13 86
SWM1 7 292
EXG2 14 153
YDR262W 6 99
DIN7 10 83
AKR1 3 11
PEX10 1 0
HEL2 3 3
CIA1 3 7
MSW1 7 18
YDR269C 1 0
CCC2 7 38
YDR271C 3 6
GLO2 5 155
DON1 7 23
YDR274C 33 709
BSC2 9 74
PMP3 2 12
MTH1 9 69
YDR278C 7 28
RNH202 5 21
RRP45 0 0
PHM6 4 8
YDR282C 2 36
GCN2 10 76
DPP1 5 20
ZIP1 7 21
YDR286C 1 0
INM2 4 8
NSE3 1 0
RTT103 2 2
YDR290W 4 17
HRQ1 15 145
SRP101 0 0
SSD1 13 90
DPL1 10 207
HDA2 6 27
MHR1 3 6
SUR2 7 41
ATP5 0 0
BFR2 0 0
PRO1 0 0
CFT1 1 0
GPI11 2 1
RSC3 0 0
CPR5 4 12
HNT2 3 29
YDR306C 3 52
PMT7 1 0
SRB7 2 3
GIC2 10 28
SUM1 19 342
TFB1 3 4
SSF2 6 45
PIB1 5 23
RAD34 10 93
IPK1 0 0
OMS1 9 33
HIM1 3 6
MCM21 5 127
YFT2 6 37
SWA2 7 37
DAD4 0 0
YDR320W-B 10 67
ASP1 3 3
MRPL35 5 30
TIM11 0 0
PEP7 2 1
UTP4 2 1
YCG1 2 1
YSP2 8 42
YDR327W 1 0
SKP1 0 0
PEX3 6 95
UBX5 4 35
GPI8 1 0
IRC3 11 217
RQC1 7 44
SWR1 13 78
MSN5 4 21
YDR336W 7 70
MRPS28 6 21
YDR338C 12 165
FCF1 0 0
YDR340W 7 57
YDR341C 0 0
HXT7 2 1
HXT6 1 0
YDR344C 10 56
HXT3 10 69
SVF1 14 342
MRP1 6 90
PAL1 14 204
YPS7 7 22
ATP22 7 21
SBE2 5 18
YPQ2 7 27
TRR1 2 1
TRP4 6 26
YDR354C-A 0 0
YDR355C 0 0
SPC110 2 18
CNL1 7 25
GGA1 6 31
EAF1 3 4
OPI7 0 0
BCP1 0 0
TFC6 1 0
ESC2 6 26
SEM1 1 0
CDC40 0 0
ESF1 1 0
YDR366C 5 30
KEI1 1 0
YPR1 7 21
XRS2 16 123
DXO1 3 25
CTS2 4 31
YDR371C-A 0 0
VPS74 1 0
FRQ1 0 0
PHO92 3 4
WIP1 1 0
BCS1 11 107
ARH1 1 0
ATP17 3 6
LSM6 1 0
RGA2 12 126
SDH6 2 1
ARO10 11 122
YRA1 0 0
YDR381C-A 4 6
RPP2B 1 0
NKP1 5 27
ATO3 11 113
EFT2 3 7
MUS81 9 86
YDR387C 8 22
RVS167 9 138
SAC7 4 35
UBA2 2 1
YDR391C 6 111
SPT3 2 1
SHE9 6 16
RPT3 1 0
SXM1 9 27
YDR396W 1 0
NCB2 1 0
UTP5 3 9
HPT1 8 220
URH1 1 0
YDR401W 7 17
DIT2 11 34
DIT1 10 51
RPB7 0 0
MRP20 18 161
PDR15 47 1438
YDR406W-A 0 0
TRS120 4 9
ADE8 2 1
SIZ1 4 10
STE14 6 10
DFM1 10 49
RRP17 1 0
YDR413C 0 0
ERD1 6 48
YDR415C 2 1
SYF1 7 14
YDR417C 3 45
RPL12B 3 45
RAD30 3 10
HKR1 20 111
ARO80 8 40
SIP1 5 13
CAD1 2 2
DYN2 2 4
SNX41 11 74
YDR426C 0 0
RPN9 0 0
BNA7 2 2
TIF35 0 0
CYM1 13 154
YDR431W 6 11
NPL3 1 0
YDR433W 1 0
GPI17 0 0
PPM1 8 22
PPZ2 11 135
GPI19 2 1
THI74 6 10
LRS4 2 2
DOT1 9 74
APT2 1 0
YDR442W 5 10
SSN2 18 94
YDR444W 13 39
YDR445C 5 39
ECM11 6 9
RPS17B 1 0
ADA2 2 6
