gene_name number_of_transposon_per_gene number_of_read_per_gene
RFC5 4 4
POL30 5 10
YBR089W 3 7
NHP6B 7 96
YBR090C 16 147
TIM12 0 0
PHO3 6 175
PHO5 3 24
PBY1 25 74
RXT2 10 49
YBR096W 1 0
VPS15 21 156
MMS4 23 102
YBR099C 0 0
FES1 3 3
EXO84 24 70
SIF2 7 21
YBR103C-A 2 6
YMC2 5 41
VID24 7 29
PHO88 0 0
IML3 1 0
AIM3 10 116
CMD1 0 0
YBR109W-A 5 24
ALG1 4 6
YSA1 9 29
SUS1 0 0
CYC8 5 5
YBR113W 2 2
RAD16 20 71
LYS2 34 102
YBR116C 5 24
TKL2 18 107
TEF2 0 0
MUD1 4 72
CBP6 2 2
GRS1 0 0
YBR121C-A 0 0
MRPL36 8 20
TFC1 9 16
YBR124W 7 61
PTC4 14 110
TPS1 15 55
YBR126W-A 2 1
YBR126W-B 2 1
VMA2 3 2
ATG14 13 45
OPY1 6 10
SHE3 1 0
CCZ1 20 49
YBR131C-A 1 0
AGP2 9 233
HSL7 23 125
YBR134W 7 70
CKS1 0 0
MEC1 22 68
YBR137W 5 10
YBR138C 8 19
YBR139W 20 214
IRA1 44 657
BMT2 5 73
YBR141W-A 1 0
MAK5 15 33
SUP45 3 2
YBR144C 9 232
ADH5 4 11
MRPS9 12 65
RTC2 7 14
YSW1 8 77
ARA1 11 49
TBS1 22 64
APD1 4 4
SPP381 5 24
RIB7 2 1
RPB5 0 0
CNS1 1 0
SLI15 8 30
ICS2 3 12
AMN1 6 27
IFA38 4 4
CDC28 3 2
CSH1 2 9
TOS1 9 47
YSY6 0 0
EXO5 14 91
ARL1 5 6
UBS1 0 0
TYR1 7 19
POP7 1 0
PEX32 4 3
SSE2 22 221
NPL4 12 15
SEC66 8 23
SMY2 6 26
UMP1 1 0
YBR174C 8 100
SWD3 6 9
ECM31 5 22
EHT1 12 27
YBR178W 9 53
FZO1 17 57
DTR1 6 24
RPS6B 0 0
SMP1 20 179
YBR182C-A 2 2
YPC1 3 5
YBR184W 2 2
MBA1 4 7
PCH2 20 276
GDT1 4 6
NTC20 4 11
RPS9B 0 0
YBR190W 1 0
RPL21A 1 0
YBR191W-A 0 0
RIM2 0 0
MED8 0 0
AIM4 3 7
MSI1 2 15
PGI1 2 1
YBR196C-A 1 0
YBR196C-B 2 4
YBR197C 7 121
TAF5 8 17
KTR4 6 20
BEM1 3 5
YBR200W-A 0 0
DER1 1 0
YBR201C-A 3 4
MCM7 5 8
COS111 20 103
LDH1 8 11
KTR3 4 114
YBR206W 2 1
FTH1 9 74
DUR1,2 38 201
YBR209W 6 336
ERV15 4 15
AME1 7 6
NGR1 19 57
MET8 12 60
SDS24 15 204
HPC2 10 18
YBP1 16 111
ATG12 2 3
PYC2 24 128
YBR219C 8 46
YBR220C 12 83
PDB1 4 14
YBR221W-A 3 53
PCS60 18 135
TDP1 9 100
YBR223W-A 1 0
YBR224W 4 25
YBR225W 10 80
YBR226C 2 2
MCX1 3 4
SLX1 7 8
ROT2 31 375
OM14 3 5
YBR230W-A 1 0
SWC5 5 21
YBR232C 1 0
PBP2 7 16
DAD3 1 0
ARC40 0 0
VHC1 31 238
ABD1 8 21
PRP5 13 25
YBR238C 8 14
ERT1 8 240
THI2 18 266
YBR241C 36 189
YBR242W 10 49
ALG7 0 0
GPX2 2 3
ISW1 34 418
RRT2 9 15
ENP1 3 2
HIS7 6 23
ARO4 6 109
SPO23 10 94
MRPS5 13 25
DUT1 3 2
SRB6 1 0
TRS20 6 22
MTC4 14 37
YBR255C-A 4 8
RIB5 0 0
POP4 6 18
SHG1 6 19
YBR259W 24 263
RGD1 25 172
TAE1 6 34
MIC12 11 40
SHM1 2 1
YPT10 1 0
TSC10 2 1
REI1 5 6
SLM6 0 0
