gene_name number_of_transposon_per_gene number_of_read_per_gene
IST2 16 263
RFC5 0 0
POL30 4 4
YBR089W 4 4
NHP6B 15 138
YBR090C 28 246
TIM12 1 0
PHO3 6 111
PHO5 9 46
PBY1 21 153
RXT2 4 28
YBR096W 6 199
VPS15 10 76
MMS4 8 122
YBR099C 3 72
FES1 8 36
EXO84 10 80
SIF2 5 4
YBR103C-A 6 58
YMC2 7 83
VID24 11 60
PHO88 3 3
IML3 0 0
AIM3 11 20
CMD1 0 0
YBR109W-A 3 12
ALG1 1 0
YSA1 10 26
SUS1 1 0
CYC8 8 14
YBR113W 8 34
RAD16 21 311
LYS2 25 206
YBR116C 14 81
TKL2 20 156
TEF2 5 4
MUD1 8 73
CBP6 3 3
GRS1 0 0
YBR121C-A 0 0
MRPL36 3 13
TFC1 3 5
YBR124W 7 60
PTC4 11 36
TPS1 7 24
YBR126W-A 3 9
YBR126W-B 4 18
VMA2 3 12
ATG14 9 83
OPY1 3 4
SHE3 4 22
CCZ1 9 40
YBR131C-A 1 0
AGP2 6 49
HSL7 16 177
YBR134W 26 315
CKS1 1 0
MEC1 16 110
YBR137W 7 19
YBR138C 10 60
YBR139W 7 47
IRA1 27 157
BMT2 8 65
YBR141W-A 0 0
MAK5 10 20
SUP45 1 0
YBR144C 13 333
ADH5 8 98
MRPS9 6 47
RTC2 14 411
YSW1 16 326
ARA1 18 216
TBS1 17 114
APD1 5 33
SPP381 10 43
RIB7 0 0
RPB5 1 0
CNS1 2 1
SLI15 4 16
ICS2 5 11
AMN1 23 555
IFA38 4 4
CDC28 1 0
CSH1 4 10
TOS1 14 256
YSY6 0 0
EXO5 16 265
ARL1 3 2
UBS1 4 6
TYR1 3 5
POP7 3 2
PEX32 1 0
SSE2 14 110
NPL4 2 3
SEC66 4 19
SMY2 3 2
UMP1 0 0
YBR174C 7 86
SWD3 8 85
ECM31 7 68
EHT1 15 57
YBR178W 19 217
FZO1 11 95
DTR1 9 53
RPS6B 0 0
SMP1 6 48
YBR182C-A 0 0
YPC1 5 78
YBR184W 10 80
MBA1 5 57
PCH2 22 260
GDT1 4 15
NTC20 8 41
RPS9B 0 0
YBR190W 0 0
RPL21A 0 0
YBR191W-A 0 0
RIM2 0 0
MED8 0 0
AIM4 3 44
MSI1 10 159
PGI1 3 2
YBR196C-A 9 44
YBR196C-B 5 85
YBR197C 14 331
TAF5 6 27
KTR4 12 101
BEM1 2 1
YBR200W-A 3 3
DER1 2 2
YBR201C-A 1 0
MCM7 10 101
COS111 14 199
LDH1 8 46
KTR3 11 158
YBR206W 3 2
FTH1 12 105
DUR1,2 35 355
YBR209W 11 253
ERV15 0 0
AME1 3 29
NGR1 21 244
MET8 18 210
SDS24 15 222
HPC2 10 127
YBP1 13 113
ATG12 1 0
PYC2 22 123
YBR219C 25 329
YBR220C 21 176
PDB1 3 10
YBR221W-A 4 39
PCS60 15 170
TDP1 16 339
YBR223W-A 9 108
YBR224W 12 81
YBR225W 11 61
YBR226C 4 8
MCX1 7 15
SLX1 14 117
ROT2 27 486
OM14 5 10
YBR230W-A 8 176
SWC5 4 12
YBR232C 1 0
PBP2 12 100
DAD3 3 3
ARC40 1 0
VHC1 35 217
ABD1 5 97
PRP5 5 17
YBR238C 8 75
ERT1 11 111
THI2 10 89
YBR241C 29 430
YBR242W 5 35
ALG7 0 0
GPX2 2 6
ISW1 28 362
RRT2 8 27
ENP1 0 0
HIS7 8 58
ARO4 2 1
SPO23 11 213
MRPS5 9 125
DUT1 0 0
SRB6 0 0
TRS20 5 24
MTC4 16 169
YBR255C-A 5 85
RIB5 2 2
POP4 3 3
SHG1 6 7
YBR259W 15 168
RGD1 21 196
TAE1 4 11
MIC12 4 9
SHM1 8 87
YPT10 3 3
TSC10 0 0
REI1 9 38
SLM6 0 0
MRPL37 0 0
SDH8 5 59
BIT2 11 63
EFM2 14 147
HSM3 9 76
UBX7 14 192
CHK1 8 51
RIF1 39 431
PPS1 13 121
YBR277C 5 48
DPB3 7 97
PAF1 5 5
SAF1 20 397
DUG2 14 110
MRPL27 1 0
SSH1 4 7
YBR284W 19 154
YBR285W 2 1
APE3 12 274
YBR287W 11 121
APM3 7 11
SNF5 16 78
BSD2 6 63
CTP1 19 244
YBR292C 5 14
VBA2 15 183
SUL1 20 395
PCA1 29 387
PHO89 23 316
YBR296C-A 10 265
MAL33 22 368
MAL31 12 98
YBR298C-A 6 41
MAL32 1 0
YBR300C 2 1
PAU24 2 1
COS2 1 0
YCL076W 0 0
GEX1 9 58
VBA3 2 1
YCL068C 1 0
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 8 40
VAC17 12 107
MRC1 15 173
KRR1 2 1
FYV5 15 123
ADF1 5 15
MIC10 5 39
PRD1 29 184
PEX34 9 81
KAR4 11 83
RDT1 0 0
SPB1 10 43
PBN1 6 167
LRE1 25 422
APA1 7 17
YCL049C 15 182
YCL048W-A 1 0
SPS22 17 298
POF1 12 53
EMC1 14 110
YCL046W 0 0
MGR1 25 437
PDI1 13 78
YCL041C 12 21
YCL042W 11 106
GLK1 36 461
GID7 43 627
ATG22 21 281
SRO9 15 159
GFD2 37 944
GRX1 5 50
LSB5 29 442
MXR2 11 65
STE50 26 649
RRP7 2 1
HIS4 1 0
BIK1 25 308
RNQ1 14 233
FUS1 32 829
HBN1 9 28
FRM2 17 327
AGP1 58 1272
YCL023C 20 361
KCC4 55 1090
YCL022C 16 427
YCL021W-A 0 0
LEU2 132 2710
NFS1 80 1291
DCC1 7 19
BUD3 66 816
YCL012C 13 63
GBP2 18 114
SGF29 41 786
ILV6 20 322
STP22 30 309
YCL007C 6 54
VMA9 4 7
LDB16 31 759
PGS1 13 303
YCL002C 44 835
RER1 12 39
YCL001W-A 7 18
YCL001W-B 14 326
YCR001W 17 221
CDC10 3 2
MRPL32 16 285
YCP4 13 181
CIT2 74 2927
YCR006C 131 2341
YCR007C 22 202
SAT4 31 409
RVS161 8 17
ADY2 31 578
ADP1 54 793
PGK1 0 0
YCR013C 1 0
POL4 20 489
YCR015C 19 89
YCR016W 14 72
CWH43 33 454
SRD1 3 17
YCR018C-A 7 150
MAK32 22 380
PET18 18 192
MAK31 7 114
HTL1 0 0
HSP30 18 484
YCR022C 22 294
YCR023C 16 96
SLM5 25 299
YCR024C-B 9 72
PMP1 2 1
YCR025C 27 214
NPP1 47 934
RHB1 4 7
FEN2 10 49
RIM1 1 0
SYP1 22 305
RPS14A 2 5
BPH1 74 1023
SNT1 24 140
ELO2 4 8
RRP43 1 0
RBK1 14 181
PHO87 26 755
BUD5 10 97
YCR038W-A 0 0
MATALPHA2 1 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 17 103
YCR043C 8 10
PER1 0 0
